GapBuy;GapSell;FastCoef;Position;AvBid;AvAsk;Spread;SpreadK;MinLev;MinLevClose;FixTp;FixSl;TrailSl;FastSpread;dTFast;tpsFast;dTSlow;tpsSlow;
-15.00;15.00;1.00;Buy 1.09854 [-0.00013 pts];0.00000;0.00000;15.00;1.00;40.00;0.00;1.00;22.00;-1000.00;15.00;0.00;0.00;0.00;0.00;
-16.00;16.00;1.00;Buy 1.09854 [-0.00016 pts];0.00000;0.00000;16.00;1.00;41.00;0.00;1.00;23.00;-1000.00;16.00;400.51;2.50;400.51;2.50;
-14.00;14.00;1.00;Buy 1.09854 [-0.00014 pts];0.00000;0.00000;14.00;1.00;39.00;0.00;1.00;21.00;-1000.00;14.00;1076.54;0.93;1076.54;0.93;
-14.00;14.00;1.00;Buy 1.09854 [-0.00015 pts];0.00000;0.00000;14.00;1.00;39.00;0.00;1.00;21.00;-1000.00;14.00;1875.23;0.53;1875.23;0.53;
-12.00;12.00;1.00;Buy 1.09854 [-0.00013 pts];0.00000;0.00000;12.00;1.00;37.00;0.00;1.00;19.00;-1000.00;12.00;1539.28;0.65;1539.28;0.65;
-14.00;14.00;1.00;Buy 1.09854 [-0.00009 pts];0.00000;0.00000;14.00;1.00;39.00;0.00;1.00;21.00;-1000.00;14.00;1326.78;0.75;1326.78;0.75;
-15.00;15.00;1.00;Buy 1.09854 [-0.00010 pts];0.00000;0.00000;15.00;1.00;40.00;0.00;1.00;22.00;-1000.00;15.00;1165.91;0.86;1165.91;0.86;
-13.00;15.00;1.00;Buy 1.09854 [-0.00010 pts];0.00000;0.00000;15.00;1.00;40.00;0.00;1.00;22.00;-1000.00;13.00;1421.72;0.70;1422.22;0.70;
-13.00;13.00;1.00;Buy 1.09854 [-0.00008 pts];0.00000;0.00000;13.00;1.00;38.00;0.00;1.00;20.00;-1000.00;13.00;1421.72;0.70;1422.22;0.70;
-16.00;16.00;1.00;Buy 1.09854 [-0.00011 pts];0.00000;0.00000;16.00;1.00;41.00;0.00;1.00;23.00;-1000.00;16.00;1702.88;0.59;1703.32;0.59;
-15.00;15.00;1.00;Buy 1.09854 [-0.00011 pts];0.00000;0.00000;15.00;1.00;40.00;0.00;1.00;22.00;-1000.00;15.00;1552.93;0.64;1553.33;0.64;
-18.00;18.00;1.00;Buy 1.09854 [-0.00013 pts];0.00000;0.00000;18.00;1.00;43.00;0.00;1.00;25.00;-1000.00;18.00;1776.57;0.56;1776.93;0.56;
-17.00;17.00;1.00;Buy 1.09854 [-0.00013 pts];0.00000;0.00000;17.00;1.00;42.00;0.00;1.00;24.00;-1000.00;17.00;1658.89;0.60;1659.14;0.60;
-15.00;15.00;1.00;Buy 1.09854 [-0.00012 pts];0.00000;0.00000;15.00;1.00;40.00;0.00;1.00;22.00;-1000.00;15.00;2393.25;0.42;2393.48;0.42;
-14.00;14.00;1.00;Buy 1.09854 [-0.00010 pts];0.00000;0.00000;14.00;1.00;39.00;0.00;1.00;21.00;-1000.00;14.00;2295.11;0.44;2295.32;0.44;
-14.00;14.00;1.00;Buy 1.09854 [-0.00011 pts];0.00000;0.00000;14.00;1.00;39.00;0.00;1.00;21.00;-1000.00;14.00;2302.33;0.43;2302.52;0.43;
-17.00;17.00;1.00;Buy 1.09854 [-0.00013 pts];0.00000;0.00000;17.00;1.00;42.00;0.00;1.00;24.00;-1000.00;17.00;2755.66;0.36;2755.84;0.36;
