GapBuy;GapSell;FastCoef;Position;AvBid;AvAsk;Spread;SpreadK;MinLev;MinLevClose;FixTp;FixSl;TrailSl;FastSpread;dTFast;tpsFast;dTSlow;tpsSlow;
0.00;0.00;1.00;none;-150.00;-580.00;340.00;1.00;540.00;180.00;1.00;347.00;-1000.00;90.00;0.00;0.00;0.00;0.00;
-25.00;-25.00;1.00;none;-175.00;-605.00;340.00;1.00;540.00;180.00;1.00;347.00;-1000.00;90.00;0.00;0.00;1003.40;1.00;
16.67;16.67;1.00;none;-166.67;-596.67;340.00;1.00;540.00;180.00;1.00;347.00;-1000.00;90.00;0.00;0.00;699.35;1.43;
20.00;12.50;1.00;none;-162.50;-590.00;340.00;1.00;540.00;180.00;1.00;347.00;-1000.00;80.00;1999.61;0.50;699.35;1.43;
0.00;-6.00;1.00;none;-164.00;-590.00;340.00;1.00;540.00;180.00;1.00;347.00;-1000.00;80.00;1999.61;0.50;1699.77;0.59;
-25.00;-30.00;1.00;none;-170.00;-595.00;340.00;1.00;540.00;180.00;1.00;347.00;-1000.00;80.00;1999.61;0.50;1398.88;0.71;
12.86;17.14;1.00;none;-167.14;-592.86;340.00;1.00;540.00;180.00;1.00;347.00;-1000.00;90.00;3050.83;0.33;1398.88;0.71;
55.00;58.75;1.00;none;-158.75;-585.00;340.00;1.00;540.00;180.00;1.00;347.00;-1000.00;90.00;2370.06;0.42;1398.88;0.71;
4.44;7.78;1.00;none;-157.78;-584.44;340.00;1.00;540.00;180.00;1.00;347.00;-1000.00;90.00;2370.06;0.42;1401.58;0.71;
13.00;7.00;1.00;none;-157.00;-583.00;340.00;1.00;540.00;180.00;1.00;347.00;-1000.00;80.00;2025.63;0.49;1401.58;0.71;
-33.64;-39.09;0.42;none;-160.91;-586.36;340.00;1.00;540.00;180.00;1.00;347.00;-1000.00;80.00;2025.63;0.49;1451.21;0.69;
15.00;10.00;0.78;none;-160.00;-585.00;340.00;1.00;540.00;180.00;1.00;347.00;-1000.00;80.00;1845.27;0.54;1451.21;0.69;
41.54;18.46;1.17;none;-158.46;-581.54;340.00;1.00;540.00;180.00;1.00;347.00;-1000.00;60.00;1700.38;0.59;1451.21;0.69;
