GapBuy;GapSell;FastCoef;Position;AvBid;AvAsk;Spread;SpreadK;MinLev;MinLevClose;FixTp;FixSl;TrailSl;FastSpread;dTFast;tpsFast;dTSlow;tpsSlow;
0.00;0.00;1.00;none;-1.6;-5.7;3.40;1.00;203.40;180.00;1.00;10.40;-1000.00;0.70;500.18;2.00;0.00;0.00;
-0.10;-0.10;1.00;none;-1.7;-5.8;3.40;1.00;203.40;180.00;1.00;10.40;-1000.00;0.70;750.21;1.33;0.00;0.00;
0.13;0.13;1.00;none;-1.6333333333333333333333333333;-5.7333333333333333333333333333;3.40;1.00;203.40;180.00;1.00;10.40;-1000.00;0.70;750.21;1.33;797.18;1.25;
-0.13;-0.13;1.00;none;-1.675;-5.775;3.40;1.00;203.40;180.00;1.00;10.40;-1000.00;0.70;900.31;1.11;797.18;1.25;
0.06;0.06;1.00;none;-1.66;-5.76;3.40;1.00;203.40;180.00;1.00;10.40;-1000.00;0.70;900.31;1.11;1449.30;0.69;
0.30;0.22;1.00;none;-1.6166666666666666666666666667;-5.7;3.40;1.00;203.40;180.00;1.00;10.40;-1000.00;0.60;1321.60;0.76;1449.30;0.69;
0.09;0.01;1.00;none;-1.6142857142857142857142857143;-5.6857142857142857142857142857;3.40;1.00;203.40;180.00;1.00;10.40;-1000.00;0.60;1321.60;0.76;1999.04;0.50;
0.08;0.10;1.00;none;-1.6;-5.675;3.40;1.00;203.40;180.00;1.00;10.40;-1000.00;0.70;1284.51;0.78;1999.04;0.50;
-0.20;-0.18;1.00;none;-1.6222222222222222222222222222;-5.7;3.40;1.00;203.40;180.00;1.00;10.40;-1000.00;0.70;1284.51;0.78;1953.17;0.51;
-0.63;-0.61;1.00;none;-1.69;-5.77;3.40;1.00;203.40;180.00;1.00;10.40;-1000.00;0.70;1243.34;0.80;1953.17;0.51;
0.34;0.35;0.65;none;-1.6545454545454545454545454545;-5.7363636363636363636363636364;3.40;1.00;203.40;180.00;1.00;10.40;-1000.00;0.70;1243.34;0.80;1659.59;0.60;
0.03;0.14;0.68;none;-1.6416666666666666666666666667;-5.7333333333333333333333333333;3.40;1.00;203.40;180.00;1.00;10.40;-1000.00;0.80;1213.19;0.82;1659.59;0.60;
0.31;0.22;0.91;none;-1.6230769230769230769230769231;-5.7076923076923076923076923077;3.40;1.00;203.40;180.00;1.00;10.40;-1000.00;0.60;1200.90;0.83;1659.59;0.60;
0.10;0.02;0.66;none;-1.6214285714285714285714285714;-5.7;3.40;1.00;203.40;180.00;1.00;10.40;-1000.00;0.60;1200.90;0.83;1701.19;0.59;
0.09;0.11;0.76;none;-1.6133333333333333333333333333;-5.6933333333333333333333333333;3.40;1.00;203.40;180.00;1.00;10.40;-1000.00;0.70;1180.96;0.85;1701.19;0.59;
-0.19;-0.18;0.53;none;-1.625;-5.70625;3.40;1.00;203.40;180.00;1.00;10.40;-1000.00;0.70;1180.96;0.85;1642.50;0.61;
0.29;0.31;0.46;none;-1.6058823529411764705882352941;-5.6882352941176470588235294118;3.40;1.00;203.40;180.00;1.00;10.40;-1000.00;0.70;1180.96;0.85;1475.09;0.68;
-0.01;0.10;0.54;none;-1.6;-5.6888888888888888888888888889;3.40;1.00;203.40;180.00;1.00;10.40;-1000.00;0.80;1164.05;0.86;1475.09;0.68;
-0.20;-0.09;0.57;none;-1.6052631578947368421052631579;-5.7;3.40;1.00;203.40;180.00;1.00;10.40;-1000.00;0.80;1164.05;0.86;1388.94;0.72;
-0.19;-0.19;0.36;none;-1.615;-5.71;3.40;1.00;203.40;180.00;1.00;10.40;-1000.00;0.70;1150.44;0.87;1388.94;0.72;
0.01;0.01;0.57;none;-1.6142857142857142857142857143;-5.7095238095238095238095238095;3.40;1.00;203.40;180.00;1.00;10.40;-1000.00;0.70;1150.44;0.87;1320.33;0.76;
0.30;0.30;0.61;none;-1.6;-5.6954545454545454545454545455;3.40;1.00;203.40;180.00;1.00;10.40;-1000.00;0.70;1146.71;0.87;1320.33;0.76;
0.09;0.10;0.61;none;-1.5956521739130434782608695652;-5.6913043478260869565217391304;3.40;1.00;203.40;180.00;1.00;10.40;-1000.00;0.70;1136.21;0.88;1320.33;0.76;
-0.10;-0.10;0.61;none;-1.6;-5.6958333333333333333333333333;3.40;1.00;203.40;180.00;1.00;10.40;-1000.00;0.70;1136.21;0.88;1455.31;0.69;
0.09;0.10;0.71;none;-1.596;-5.692;3.40;1.00;203.40;180.00;1.00;10.40;-1000.00;0.70;1127.10;0.89;1455.31;0.69;
-0.39;-0.39;0.63;none;-1.6115384615384615384615384615;-5.7076923076923076923076923077;3.40;1.00;203.40;180.00;1.00;10.40;-1000.00;0.70;1127.10;0.89;1491.59;0.67;
0.10;0.01;1.32;none;-1.6111111111111111111111111111;-5.7037037037037037037037037037;3.40;1.00;203.40;180.00;1.00;10.40;-1000.00;0.60;1188.04;0.84;1491.59;0.67;
-0.19;-0.28;0.86;none;-1.6214285714285714285714285714;-5.7107142857142857142857142857;3.40;1.00;203.40;180.00;1.00;10.40;-1000.00;0.60;1188.04;0.84;1477.71;0.68;
-0.09;-0.08;1.13;none;-1.6241379310344827586206896552;-5.7137931034482758620689655172;3.40;1.00;203.40;180.00;1.00;10.40;-1000.00;0.70;1177.27;0.85;1477.71;0.68;
0.21;0.22;0.87;none;-1.6166666666666666666666666667;-5.7066666666666666666666666667;3.40;1.00;203.40;180.00;1.00;10.40;-1000.00;0.70;1177.27;0.85;1415.49;0.71;
0.39;0.40;0.87;none;-1.6032258064516129032258064516;-5.6935483870967741935483870968;3.40;1.00;203.40;180.00;1.00;10.40;-1000.00;0.70;1177.27;0.85;1346.43;0.74;
-0.10;-0.09;1.00;none;-1.60625;-5.696875;3.40;1.00;203.40;180.00;1.00;10.40;-1000.00;0.70;1167.04;0.86;1346.43;0.74;
