GapBuy;GapSell;FastCoef;Position;AvBid;AvAsk;Spread;SpreadK;MinLev;MinLevClose;FixTp;FixSl;TrailSl;FastSpread;dTFast;tpsFast;dTSlow;tpsSlow;
0.00;0.00;1.00;none;-140.00;-550.00;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;80.00;0.00;0.00;0.00;0.00;
-5.00;-10.00;1.00;none;-150.00;-555.00;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;70.00;1500.34;0.67;0.00;0.00;
16.67;13.33;1.00;none;-143.33;-546.67;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;70.00;1500.34;0.67;488.36;2.05;
-10.00;-5.00;1.00;none;-145.00;-550.00;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;80.00;1247.19;0.80;488.36;2.05;
-32.00;-28.00;1.00;none;-152.00;-558.00;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;80.00;1247.19;0.80;1495.78;0.67;
-1.67;-6.67;1.00;none;-153.33;-558.33;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;70.00;1531.57;0.65;1495.78;0.67;
-35.71;-31.43;1.00;none;-158.57;-564.29;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;80.00;1539.58;0.65;1495.78;0.67;
-5.00;-1.25;1.00;none;-158.75;-565.00;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;80.00;1539.58;0.65;2099.77;0.48;
-13.33;-10.00;1.00;none;-160.00;-566.67;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;80.00;2483.29;0.40;2099.77;0.48;
6.00;9.00;1.00;none;-159.00;-566.00;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;80.00;2483.29;0.40;3497.45;0.29;
32.73;35.45;0.79;none;-155.45;-562.73;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;80.00;2483.29;0.40;2878.97;0.35;
2.50;5.00;0.89;none;-155.00;-562.50;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;80.00;2273.16;0.44;2878.97;0.35;
-6.92;-4.62;1.23;none;-155.38;-563.08;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;80.00;2112.66;0.47;2878.97;0.35;
2.86;5.00;1.09;none;-155.00;-562.86;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;80.00;1999.73;0.50;2878.97;0.35;
-44.00;-42.00;0.92;none;-158.00;-566.00;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;80.00;1999.73;0.50;3049.02;0.33;
5.63;7.50;1.12;none;-157.50;-565.63;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;80.00;1999.99;0.50;3049.02;0.33;
24.12;25.88;0.73;none;-155.88;-564.12;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;80.00;1999.99;0.50;3170.57;0.32;
3.89;-3.89;1.13;none;-156.11;-563.89;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;70.00;2191.55;0.46;3170.57;0.32;
22.63;24.74;1.25;none;-154.74;-562.63;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;80.00;2266.91;0.44;3170.57;0.32;
2.50;4.50;1.25;none;-154.50;-562.50;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;80.00;2266.91;0.44;3236.27;0.31;
50.00;51.90;1.07;none;-151.90;-560.00;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;80.00;2266.91;0.44;3054.54;0.33;
-9.55;-7.73;1.29;none;-152.27;-560.45;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;80.00;2254.22;0.44;3054.54;0.33;
10.00;11.74;1.06;none;-151.74;-560.00;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;80.00;2254.22;0.44;2828.82;0.35;
0.00;-7.92;1.09;none;-152.08;-560.00;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;70.00;2164.59;0.46;2828.82;0.35;
9.60;-7.60;1.64;none;-152.40;-559.60;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;60.00;2086.89;0.48;2828.82;0.35;
-38.85;-55.38;0.81;none;-154.62;-561.15;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;60.00;2086.89;0.48;2772.25;0.36;
-18.15;-14.81;1.14;none;-155.19;-561.85;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;80.00;2019.05;0.50;2772.25;0.36;
11.43;14.64;0.79;none;-154.64;-561.43;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;80.00;2019.05;0.50;2582.87;0.39;
1.38;4.48;0.71;none;-154.48;-561.38;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;80.00;1965.01;0.51;2582.87;0.39;
20.67;23.67;0.71;none;-153.67;-560.67;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;80.00;1965.01;0.51;2599.45;0.38;
0.65;-6.13;1.21;none;-153.87;-560.65;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;70.00;1967.11;0.51;2599.45;0.38;
0.63;-15.63;0.75;none;-154.38;-560.63;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;60.00;1921.52;0.52;2599.45;0.38;
29.70;13.94;0.69;none;-153.94;-559.70;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;60.00;1921.52;0.52;2556.58;0.39;
-0.29;3.82;0.73;none;-153.82;-559.71;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;80.00;1875.33;0.53;2556.58;0.39;
9.43;3.71;0.73;none;-153.71;-559.43;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;70.00;1833.70;0.55;2556.58;0.39;
-0.56;-6.11;1.31;none;-153.89;-559.44;330.00;1.00;760.00;250.00;1.00;337.00;-1000.00;70.00;1891.31;0.53;2556.58;0.39;
-0.54;-15.68;0.88;none;-154.32;-559.46;320.00;1.00;750.00;250.00;1.00;327.00;-1000.00;70.00;1891.31;0.53;2692.45;0.37;
28.68;13.95;0.88;none;-153.95;-558.68;320.00;1.00;750.00;250.00;1.00;327.00;-1000.00;70.00;1891.31;0.53;2561.54;0.39;
-30.51;-35.13;1.41;none;-154.87;-559.49;320.00;1.00;750.00;250.00;1.00;327.00;-1000.00;80.00;1852.63;0.54;2561.54;0.39;
-10.25;-14.75;1.41;none;-155.25;-559.75;320.00;1.00;750.00;250.00;1.00;327.00;-1000.00;80.00;1852.63;0.54;2441.01;0.41;
-29.51;-33.90;0.90;none;-156.10;-560.49;320.00;1.00;750.00;250.00;1.00;327.00;-1000.00;80.00;1852.63;0.54;2321.58;0.43;
10.24;-3.81;1.19;none;-156.19;-560.24;320.00;1.00;750.00;250.00;1.00;327.00;-1000.00;70.00;1817.10;0.55;2321.58;0.43;
-19.30;-33.02;1.19;none;-156.98;-560.70;320.00;1.00;750.00;250.00;1.00;327.00;-1000.00;70.00;1788.45;0.56;2320.83;0.43;
30.00;16.59;0.68;none;-156.59;-560.00;320.00;1.00;750.00;250.00;1.00;327.00;-1000.00;70.00;1758.19;0.57;2229.06;0.45;
9.78;6.44;0.74;none;-156.44;-559.78;320.00;1.00;750.00;250.00;1.00;327.00;-1000.00;80.00;1730.07;0.58;2229.06;0.45;
-10.00;-13.26;0.60;none;-156.74;-560.00;320.00;1.00;750.00;250.00;1.00;327.00;-1000.00;80.00;1730.07;0.58;2204.41;0.45;
