GapBuy;GapSell;FastCoef;Position;AvBid;AvAsk;Spread;SpreadK;MinLev;MinLevClose;FixTp;FixSl;TrailSl;FastSpread;dTFast;tpsFast;dTSlow;tpsSlow;
-125.00;-6.00;1.00;none;0.00;0.00;49.00;1.00;249.00;180.00;1.00;56.00;-1000.00;70.00;760.24;1.32;0.00;0.00;
-185.00;-56.00;1.00;none;0.00;0.00;49.00;1.00;249.00;180.00;1.00;56.00;-1000.00;80.00;479.30;2.09;0.00;0.00;
-85.00;94.00;1.00;none;0.00;0.00;99.00;1.00;299.00;180.00;1.00;106.00;-1000.00;80.00;359.09;2.78;130.15;7.68;
-125.00;44.00;1.00;none;0.00;0.00;99.00;1.00;299.00;180.00;1.00;106.00;-1000.00;70.00;359.09;2.78;130.15;7.68;
-75.00;44.00;1.00;none;0.00;0.00;49.00;1.00;249.00;180.00;1.00;56.00;-1000.00;70.00;359.09;2.78;219.25;4.56;
-35.00;94.00;1.00;none;0.00;0.00;49.00;1.00;249.00;180.00;1.00;56.00;-1000.00;80.00;864.29;1.16;219.25;4.56;
-85.00;45.00;1.00;none;0.00;0.00;50.00;1.00;250.00;180.00;1.00;57.00;-1000.00;80.00;864.29;1.16;683.23;1.46;
-75.00;45.00;1.00;none;0.00;0.00;50.00;1.00;250.00;180.00;1.00;57.00;-1000.00;70.00;711.78;1.40;683.23;1.46;
-125.00;-5.00;1.00;none;0.00;0.00;50.00;1.00;250.00;180.00;1.00;57.00;-1000.00;70.00;692.88;1.44;683.23;1.46;
-125.00;45.00;1.00;none;0.00;0.00;100.00;1.00;300.00;180.00;1.00;107.00;-1000.00;70.00;692.88;1.44;688.41;1.45;
-134.00;54.00;0.86;none;0.00;0.00;118.00;1.00;318.00;180.00;1.00;125.00;-1000.00;70.00;692.88;1.44;1304.02;0.77;
-131.00;52.00;0.61;none;0.00;0.00;113.00;1.00;313.00;180.00;1.00;120.00;-1000.00;70.00;692.88;1.44;1265.87;0.79;
-91.00;102.00;1.71;none;0.00;0.00;113.00;1.00;313.00;180.00;1.00;120.00;-1000.00;80.00;1293.89;0.77;1265.87;0.79;
-91.00;52.00;1.07;none;0.00;0.00;63.00;1.00;263.00;180.00;1.00;70.00;-1000.00;80.00;1144.57;0.87;1239.37;0.81;
-141.00;2.00;1.76;none;0.00;0.00;63.00;1.00;263.00;180.00;1.00;70.00;-1000.00;80.00;1161.81;0.86;1239.37;0.81;
-131.00;2.00;1.40;none;0.00;0.00;63.00;1.00;263.00;180.00;1.00;70.00;-1000.00;70.00;1057.20;0.95;1253.56;0.80;
-125.00;44.00;1.81;none;0.00;0.00;99.00;1.00;299.00;180.00;1.00;106.00;-1000.00;70.00;1057.20;0.95;1253.56;0.80;
-85.00;94.00;2.28;none;0.00;0.00;99.00;1.00;299.00;180.00;1.00;106.00;-1000.00;80.00;969.79;1.03;1253.56;0.80;
-85.00;44.00;1.31;none;0.00;0.00;49.00;1.00;249.00;180.00;1.00;56.00;-1000.00;80.00;969.79;1.03;1162.01;0.86;
-75.00;44.00;1.75;none;0.00;0.00;49.00;1.00;249.00;180.00;1.00;56.00;-1000.00;70.00;904.39;1.11;1162.01;0.86;
-25.00;94.00;2.61;none;0.00;0.00;49.00;1.00;249.00;180.00;1.00;56.00;-1000.00;70.00;918.41;1.09;1162.01;0.86;
-80.00;51.00;1.63;none;0.00;0.00;61.00;1.00;261.00;180.00;1.00;68.00;-1000.00;70.00;918.41;1.09;1238.14;0.81;
-140.00;1.00;1.71;none;0.00;0.00;61.00;1.00;261.00;180.00;1.00;68.00;-1000.00;80.00;865.82;1.15;1238.14;0.81;
-90.00;51.00;1.42;none;0.00;0.00;61.00;1.00;261.00;180.00;1.00;68.00;-1000.00;80.00;816.13;1.23;1175.35;0.85;
-80.00;51.00;1.11;none;0.00;0.00;61.00;1.00;261.00;180.00;1.00;68.00;-1000.00;70.00;747.87;1.34;1175.35;0.85;
-140.00;1.00;1.45;none;0.00;0.00;61.00;1.00;261.00;180.00;1.00;68.00;-1000.00;80.00;834.48;1.20;1175.35;0.85;
-125.00;35.00;1.45;none;0.00;0.00;80.00;1.00;280.00;180.00;1.00;87.00;-1000.00;80.00;834.48;1.20;1273.08;0.79;
-115.00;35.00;1.18;none;0.00;0.00;80.00;1.00;280.00;180.00;1.00;87.00;-1000.00;70.00;798.19;1.25;1273.08;0.79;
-80.00;51.00;1.17;none;0.00;0.00;61.00;1.00;261.00;180.00;1.00;68.00;-1000.00;70.00;798.19;1.25;1261.09;0.79;
-130.00;51.00;0.98;none;0.00;0.00;111.00;1.00;311.00;180.00;1.00;118.00;-1000.00;70.00;798.19;1.25;1236.48;0.81;
-84.00;55.00;0.60;none;0.00;0.00;69.00;1.00;269.00;180.00;1.00;76.00;-1000.00;70.00;798.19;1.25;1260.98;0.79;
-134.00;55.00;0.69;none;0.00;0.00;119.00;1.00;319.00;180.00;1.00;126.00;-1000.00;70.00;798.19;1.25;1206.94;0.83;
