GapBuy;GapSell;FastCoef;Position;AvBid;AvAsk;Spread;SpreadK;MinLev;MinLevClose;FixTp;FixSl;TrailSl;FastSpread;dTFast;tpsFast;dTSlow;tpsSlow;
0.00;167.00;1.00;none;0.00;0.00;97.00;1.00;297.00;180.00;1.00;104.00;-1000.00;70.00;0.00;0.00;0.00;0.00;
-50.00;117.00;1.00;none;0.00;0.00;97.00;1.00;297.00;180.00;1.00;104.00;-1000.00;70.00;0.00;0.00;111.71;8.95;
-50.00;167.00;1.00;none;0.00;0.00;147.00;1.00;347.00;180.00;1.00;154.00;-1000.00;70.00;1177.84;0.85;268.07;3.73;
0.00;217.00;1.00;none;0.00;0.00;147.00;1.00;347.00;180.00;1.00;154.00;-1000.00;70.00;1177.84;0.85;268.07;3.73;
-50.00;167.00;1.00;none;0.00;0.00;147.00;1.00;347.00;180.00;1.00;154.00;-1000.00;70.00;1091.00;0.92;268.07;3.73;
0.00;217.00;1.00;none;0.00;0.00;147.00;1.00;347.00;180.00;1.00;154.00;-1000.00;70.00;1057.63;0.95;268.07;3.73;
-50.00;167.00;1.00;none;0.00;0.00;147.00;1.00;347.00;180.00;1.00;154.00;-1000.00;70.00;1818.73;0.55;268.07;3.73;
-59.00;128.00;1.00;none;0.00;0.00;117.00;1.00;317.00;180.00;1.00;124.00;-1000.00;70.00;1818.73;0.55;3014.28;0.33;
-59.00;178.00;1.00;none;0.00;0.00;167.00;1.00;367.00;180.00;1.00;174.00;-1000.00;70.00;1818.73;0.55;2316.31;0.43;
-9.00;228.00;1.00;none;0.00;0.00;167.00;1.00;367.00;180.00;1.00;174.00;-1000.00;70.00;2075.23;0.48;2316.31;0.43;
48.00;220.00;1.60;none;0.00;0.00;102.00;1.00;302.00;180.00;1.00;109.00;-1000.00;70.00;2075.23;0.48;2047.13;0.49;
-2.00;220.00;1.90;none;0.00;0.00;152.00;1.00;352.00;180.00;1.00;159.00;-1000.00;70.00;2075.23;0.48;1722.56;0.58;
-52.00;170.00;2.82;none;0.00;0.00;152.00;1.00;352.00;180.00;1.00;159.00;-1000.00;70.00;1782.84;0.56;1722.56;0.58;
-2.00;220.00;2.82;none;0.00;0.00;152.00;1.00;352.00;180.00;1.00;159.00;-1000.00;70.00;1684.66;0.59;1722.56;0.58;
5.00;163.00;1.81;none;0.00;0.00;88.00;1.00;288.00;180.00;1.00;95.00;-1000.00;70.00;1684.66;0.59;1919.30;0.52;
-45.00;163.00;1.22;none;0.00;0.00;138.00;1.00;338.00;180.00;1.00;145.00;-1000.00;70.00;1684.66;0.59;1691.98;0.59;
5.00;163.00;0.80;none;0.00;0.00;88.00;1.00;288.00;180.00;1.00;95.00;-1000.00;70.00;1684.66;0.59;1517.72;0.66;
-45.00;113.00;0.70;none;0.00;0.00;88.00;1.00;288.00;180.00;1.00;95.00;-1000.00;70.00;1608.75;0.62;1424.55;0.70;
5.00;163.00;1.06;none;0.00;0.00;88.00;1.00;288.00;180.00;1.00;95.00;-1000.00;70.00;1547.89;0.65;1424.55;0.70;
-5.00;163.00;0.82;none;0.00;0.00;88.00;1.00;288.00;180.00;1.00;95.00;-1000.00;80.00;1507.27;0.66;1424.55;0.70;
5.00;163.00;1.02;none;0.00;0.00;88.00;1.00;288.00;180.00;1.00;95.00;-1000.00;70.00;1464.94;0.68;1424.55;0.70;
54.00;264.00;0.77;none;0.00;0.00;140.00;1.00;340.00;180.00;1.00;147.00;-1000.00;70.00;1464.94;0.68;1620.46;0.62;
-46.00;164.00;1.01;none;0.00;0.00;140.00;1.00;340.00;180.00;1.00;147.00;-1000.00;70.00;1429.96;0.70;1620.46;0.62;
4.00;164.00;0.69;none;0.00;0.00;90.00;1.00;290.00;180.00;1.00;97.00;-1000.00;70.00;1429.96;0.70;1535.34;0.65;
-48.00;116.00;0.64;none;0.00;0.00;94.00;1.00;294.00;180.00;1.00;101.00;-1000.00;70.00;1429.96;0.70;1575.71;0.63;
-98.00;116.00;0.64;none;0.00;0.00;144.00;1.00;344.00;180.00;1.00;151.00;-1000.00;70.00;1429.96;0.70;1491.91;0.67;
