GapBuy;GapSell;AvBid;AvAsk;Spread;SpreadK;MinLev;MinLevClose;FixTp;FixSl;FastSpread;dTFast;tpsFast;dTSlow;tpsSlow;
0.00;0.00;-218.00;-379.00;161.00;161.00;161161.00;48.30;161.00;322.00;210.00;0.00;0.00;0.00;0.00;
15.00;15.00;-203.00;-364.00;161.00;161.00;161161.00;48.30;161.00;322.00;180.00;314.80;3.18;0.00;0.00;
3.33;3.33;-201.33;-362.33;161.00;161.00;161161.00;48.30;161.00;322.00;210.00;295.32;3.39;0.00;0.00;
10.00;10.00;-198.00;-359.00;161.00;161.00;161161.00;48.30;161.00;322.00;210.00;348.04;2.87;0.00;0.00;
-16.00;-16.00;-202.00;-363.00;161.00;161.00;161161.00;48.30;161.00;322.00;210.00;341.73;2.93;0.00;0.00;
11.67;11.67;-199.67;-360.67;161.00;161.00;161161.00;48.30;161.00;322.00;210.00;333.85;3.00;0.00;0.00;
19.43;-20.00;-203.00;-357.43;154.43;154.43;154583.00;46.33;154.43;308.86;210.00;333.85;3.00;2163.95;0.46;
14.38;6.13;-202.13;-355.38;153.25;153.25;153403.25;45.98;153.25;306.50;210.00;333.85;3.00;1127.95;0.89;
5.67;-9.67;-203.33;-354.67;151.33;151.33;151484.67;45.40;151.33;302.67;210.00;333.85;3.00;771.95;1.30;
5.10;12.90;-201.90;-354.10;152.20;152.20;152352.20;45.66;152.20;304.40;210.00;333.85;3.00;603.95;1.66;
6.45;11.73;-200.73;-353.45;152.73;152.73;152880.00;45.82;152.73;305.45;210.00;333.85;3.00;603.95;1.66;
8.67;-15.83;-202.17;-352.67;150.50;150.50;150650.50;45.15;150.50;301.00;210.00;333.85;3.00;571.50;1.75;
17.23;-5.38;-202.62;-351.23;148.62;148.62;148764.00;44.58;148.62;297.23;210.00;569.86;1.75;571.50;1.75;
-9.07;-2.21;-202.79;-351.93;149.14;149.14;149292.00;44.74;149.14;298.29;210.00;569.86;1.75;571.19;1.75;
4.60;-38.47;-205.53;-351.60;146.07;146.07;146212.73;43.82;146.07;292.13;210.00;569.86;1.75;506.87;1.97;
23.06;-17.31;-206.69;-350.06;143.38;143.38;143518.38;43.01;143.38;286.75;210.00;530.43;1.89;506.87;1.97;
31.12;-6.88;-207.12;-348.12;141.00;141.00;141141.00;42.30;141.00;282.00;200.00;601.16;1.66;506.87;1.97;
29.39;-6.50;-207.50;-346.39;138.89;138.89;139027.78;41.67;138.89;277.78;210.00;601.16;1.66;506.87;1.97;
27.84;17.53;-206.53;-344.84;138.32;138.32;138454.11;41.49;138.32;276.63;210.00;601.16;1.66;634.39;1.58;
6.50;-2.35;-206.65;-344.50;137.85;137.85;137987.85;41.36;137.85;275.70;210.00;573.34;1.74;634.39;1.58;
