GapBuy;GapSell;AvBid;AvAsk;Spread;SpreadK;MinLev;MinLevClose;FixTp;FixSl;FastSpread;dTFast;tpsFast;dTSlow;tpsSlow;
-34.45;-21.84;-185.16;-332.55;147.39;147.39;147535.14;44.22;147.39;294.78;280.00;801.52;1.25;459.64;2.18;
-33.76;-21.40;-185.60;-333.24;147.64;147.64;147787.64;44.29;147.64;295.28;210.00;801.52;1.25;459.64;2.18;
-13.49;-1.37;-185.63;-333.51;147.88;147.88;148030.24;44.36;147.88;295.76;210.00;774.39;1.29;459.64;2.18;
-8.33;-31.75;-186.25;-333.67;147.42;147.42;147570.50;44.23;147.42;294.85;210.00;774.39;1.29;518.54;1.93;
1.64;-21.34;-186.66;-333.64;146.98;146.98;147128.11;44.09;146.98;293.96;210.00;803.88;1.24;518.54;1.93;
-3.30;8.50;-186.50;-333.70;147.20;147.20;147350.91;44.16;147.20;294.41;210.00;803.88;1.24;507.19;1.97;
-13.05;-1.47;-186.53;-333.95;147.42;147.42;147565.60;44.23;147.42;294.84;220.00;776.41;1.29;507.19;1.97;
-12.82;-1.45;-186.55;-334.18;147.63;147.63;147772.63;44.29;147.63;295.25;210.00;776.41;1.29;507.19;1.97;
-12.60;-17.14;-186.86;-334.40;147.54;147.54;147691.40;44.26;147.54;295.09;210.00;776.41;1.29;505.27;1.98;
-20.24;-16.84;-187.16;-334.76;147.60;147.60;147751.05;44.28;147.60;295.21;210.00;776.41;1.29;505.27;1.98;
-10.07;-2.80;-187.20;-334.93;147.73;147.73;147876.54;44.32;147.73;295.46;210.00;776.41;1.29;491.86;2.03;
-9.90;13.97;-186.97;-335.10;148.13;148.13;148281.47;44.44;148.13;296.27;210.00;776.41;1.29;515.99;1.94;
-1.87;13.74;-186.74;-335.13;148.39;148.39;148541.84;44.52;148.39;296.79;210.00;776.41;1.29;515.99;1.94;
-1.84;1.71;-186.71;-335.16;148.45;148.45;148600.06;44.54;148.45;296.90;210.00;776.41;1.29;532.13;1.88;
-14.60;1.68;-186.68;-335.40;148.71;148.71;148863.00;44.61;148.71;297.43;210.00;776.41;1.29;532.13;1.88;
-14.38;18.39;-186.39;-335.63;149.23;149.23;149383.61;44.77;149.23;298.47;210.00;776.41;1.29;518.94;1.93;
-6.28;18.11;-186.11;-335.72;149.62;149.62;149765.00;44.88;149.62;299.23;210.00;776.41;1.29;518.94;1.93;
-6.18;-4.82;-186.18;-335.82;149.64;149.64;149786.00;44.89;149.64;299.27;210.00;776.41;1.29;514.71;1.94;
-8.06;-4.75;-186.25;-335.94;149.69;149.69;149836.25;44.91;149.69;299.37;210.00;776.41;1.29;514.71;1.94;
-7.94;-2.71;-186.29;-336.06;149.76;149.76;149914.47;44.93;149.76;299.53;210.00;776.41;1.29;505.86;1.98;
14.84;-2.67;-186.33;-335.84;149.51;149.51;149656.75;44.85;149.51;299.01;210.00;776.41;1.29;505.86;1.98;
-9.03;-2.63;-186.37;-335.97;149.60;149.60;149749.60;44.88;149.60;299.20;210.00;776.41;1.29;500.12;2.00;
10.82;17.13;-186.13;-335.82;149.69;149.69;149839.83;44.91;149.69;299.38;210.00;916.65;1.09;500.12;2.00;
-12.01;-10.72;-186.28;-335.99;149.71;149.71;149858.04;44.91;149.71;299.42;210.00;916.65;1.09;490.55;2.04;
-11.85;-39.18;-186.82;-336.15;149.33;149.33;149478.10;44.80;149.33;298.66;210.00;916.65;1.09;480.57;2.08;
-7.74;-38.65;-187.35;-336.26;148.91;148.91;149054.31;44.67;148.91;297.81;210.00;916.65;1.09;480.57;2.08;
-17.51;-2.61;-187.39;-336.49;149.11;149.11;149255.77;44.73;149.11;298.21;210.00;916.65;1.09;470.74;2.12;
12.33;27.03;-187.03;-336.33;149.30;149.30;149451.93;44.79;149.30;298.61;210.00;891.18;1.12;470.74;2.12;
-7.57;6.94;-186.94;-336.43;149.49;149.49;149643.00;44.85;149.49;298.99;230.00;868.81;1.15;470.74;2.12;
-7.47;6.85;-186.85;-336.53;149.68;149.68;149829.17;44.90;149.68;299.36;210.00;868.81;1.15;470.74;2.12;
