LocalTime;FastTime;FastBid;FastAsk;SlowBid;SlowAsk;GapLong;GapShort;dTFast;tpsFast;dTSlow;tpsSlow;
08:36:09.850953;10:36:09.781996;16026.60;16028.70;16028.52;16029.94;0.00;0.00;20.99;47.63;0.00;0.00;
08:36:09.896923;10:36:09.781996;16026.60;16028.70;16028.36;16029.85;4.50;8.00;20.99;47.63;79.95;12.51;
08:36:10.271691;10:36:10.188743;16026.80;16028.90;16028.83;16030.14;-3.00;-12.67;213.87;4.68;97.69;10.24;
08:36:10.411605;10:36:10.409609;16027.00;16029.10;16028.83;16030.14;12.75;5.50;216.20;4.63;97.69;10.24;
08:36:10.597494;10:36:10.409609;16027.00;16029.10;16028.83;16030.38;-9.00;4.40;216.20;4.63;156.90;6.37;
08:36:10.689580;10:36:10.409609;16027.00;16029.10;16028.95;16030.51;-18.33;-6.33;216.20;4.63;147.93;6.76;
08:36:10.799884;10:36:10.784832;16027.10;16029.20;16028.95;16030.51;-7.14;3.14;255.96;3.91;147.93;6.76;
08:36:11.820003;10:36:11.815007;16027.30;16029.40;16028.95;16030.51;11.25;20.25;410.80;2.43;147.93;6.76;
08:36:11.912460;10:36:11.815007;16027.30;16029.40;16029.27;16030.69;-6.00;-10.44;410.80;2.43;299.93;3.33;
08:36:13.197631;10:36:11.815007;16027.30;16029.40;16029.19;16030.52;9.90;-2.20;410.80;2.43;424.46;2.36;
08:36:13.365434;10:36:13.346446;16027.10;16029.20;16029.01;16030.45;-2.82;-3.82;597.57;1.67;390.83;2.56;
08:36:13.614431;10:36:13.346446;16027.10;16029.20;16029.02;16030.70;-25.50;-4.42;597.57;1.67;380.55;2.63;
08:36:13.707066;10:36:13.682081;16027.30;16029.40;16029.02;16030.70;-5.08;14.38;560.15;1.79;380.55;2.63;
08:36:13.892950;10:36:13.682081;16027.30;16029.40;16028.96;16030.51;12.93;18.93;560.15;1.79;371.00;2.70;
08:36:13.985896;10:36:13.957910;16027.10;16029.20;16028.96;16030.51;-6.60;-1.00;524.61;1.91;371.00;2.70;
08:36:14.061846;10:36:13.957910;16027.10;16029.20;16029.08;16030.63;-17.44;-12.19;524.61;1.91;348.83;2.87;
08:36:14.351667;10:36:13.957910;16027.10;16029.20;16028.95;16030.51;-5.12;0.76;524.61;1.91;348.82;2.87;
08:36:14.445611;10:36:13.957910;16027.10;16029.20;16029.05;16030.66;-19.00;-8.72;524.61;1.91;331.05;3.02;
08:36:14.678466;10:36:14.670474;16027.30;16029.40;16029.05;16030.66;0.95;10.68;545.50;1.83;331.05;3.02;
08:36:15.351081;10:36:15.349076;16027.10;16029.20;16028.92;16030.54;-6.70;3.50;558.81;1.79;369.47;2.71;
08:36:15.521971;10:36:15.349076;16027.10;16029.20;16029.10;16030.62;-14.00;-13.81;558.81;1.79;356.62;2.80;
08:36:15.631903;10:36:15.349076;16027.10;16029.20;16028.96;16030.50;-1.91;0.18;558.81;1.79;342.11;2.92;
08:36:15.723846;10:36:15.719848;16027.30;16029.40;16028.96;16030.50;17.30;19.30;541.71;1.85;342.11;2.92;
08:36:16.020663;10:36:16.016665;16027.00;16029.10;16028.96;16030.50;-12.17;-10.25;521.31;1.92;342.11;2.92;
08:36:17.167206;10:36:16.016665;16027.00;16029.10;16028.72;16030.24;13.28;13.20;521.31;1.92;387.17;2.58;
08:36:17.259146;10:36:17.258145;16026.80;16028.90;16028.72;16030.24;-6.46;-6.54;576.70;1.73;387.17;2.58;
08:36:17.602962;10:36:17.586967;16027.10;16029.20;16028.72;16030.24;22.67;22.59;559.00;1.79;387.17;2.58;
08:36:17.789844;10:36:17.586967;16027.10;16029.20;16028.74;16030.47;-0.32;19.86;559.00;1.79;398.69;2.51;
08:36:17.882786;10:36:17.851805;16027.30;16029.40;16029.27;16030.70;-3.21;-12.69;539.39;1.85;383.94;2.60;
08:36:19.032015;10:36:17.851805;16027.30;16029.40;16028.99;16030.73;-6.00;14.80;539.39;1.85;419.41;2.38;
08:36:19.142944;10:36:17.851805;16027.30;16029.40;16029.01;16030.46;20.32;12.39;539.39;1.85;405.61;2.47;
08:36:19.235888;10:36:19.148941;16027.10;16029.20;16029.01;16030.46;0.31;-7.38;586.75;1.70;405.61;2.47;
08:36:19.579673;10:36:19.564684;16027.30;16029.40;16029.01;16030.46;19.70;12.24;576.69;1.73;405.61;2.47;
08:36:19.656628;10:36:19.564684;16027.30;16029.40;16029.00;16030.71;-5.15;12.85;576.69;1.73;407.57;2.45;
08:36:20.339470;10:36:19.564684;16027.30;16029.40;16029.54;16030.43;22.20;-39.97;576.69;1.73;421.06;2.37;
08:36:20.449909;10:36:20.399940;16027.60;16029.70;16029.88;16030.59;35.19;-42.75;591.05;1.69;408.92;2.45;
08:36:20.698756;10:36:20.687763;16028.00;16030.10;16029.88;16030.59;73.16;-2.68;575.09;1.74;408.92;2.45;
08:36:20.775709;10:36:20.687763;16028.00;16030.10;16030.00;16031.46;-13.47;-14.29;575.09;1.74;404.44;2.47;
