GapBuy;GapSell;AvBid;AvAsk;Spread;SpreadK;MinLev;MinLevClose;FixTp;FixSl;FastSpread;dTFast;tpsFast;dTSlow;tpsSlow;
0.00;0.00;-212.00;-349.00;137.00;137.00;137137.00;41.10;137.00;274.00;210.00;37.98;26.33;0.00;0.00;
-1.00;8.50;-203.50;-350.00;146.50;146.50;146646.50;43.95;146.50;293.00;210.00;212.68;4.70;292.82;3.42;
6.00;12.33;-197.33;-347.00;149.67;149.67;149816.33;44.90;149.67;299.33;210.00;257.86;3.88;292.82;3.42;
12.75;15.25;-192.25;-342.75;150.50;150.50;150650.50;45.15;150.50;301.00;210.00;258.86;3.86;441.77;2.26;
-5.80;-3.80;-193.20;-344.20;151.00;151.00;151151.00;45.30;151.00;302.00;210.00;275.26;3.63;441.77;2.26;
-4.83;-29.00;-199.00;-345.17;146.17;146.17;146312.83;43.85;146.17;292.33;210.00;275.26;3.63;523.54;1.91;
22.43;18.00;-196.00;-341.43;145.43;145.43;145574.00;43.63;145.43;290.86;210.00;272.06;3.68;523.54;1.91;
30.13;27.13;-192.13;-337.13;145.00;145.00;145145.00;43.50;145.00;290.00;210.00;272.06;3.68;430.38;2.32;
-17.67;-20.33;-194.67;-339.33;144.67;144.67;144811.33;43.40;144.67;289.33;210.00;276.78;3.61;430.38;2.32;
-14.10;2.40;-194.40;-340.90;146.50;146.50;146646.50;43.95;146.50;293.00;210.00;276.78;3.61;385.28;2.60;
-31.00;-16.00;-196.00;-344.00;148.00;148.00;148148.00;44.40;148.00;296.00;210.00;286.89;3.49;385.28;2.60;
17.42;31.17;-193.17;-342.42;149.25;149.25;149399.25;44.78;149.25;298.50;210.00;343.15;2.91;385.28;2.60;
16.08;1.08;-193.08;-341.08;148.00;148.00;148148.00;44.40;148.00;296.00;210.00;343.15;2.91;556.09;1.80;
-2.71;1.00;-193.00;-341.29;148.29;148.29;148434.00;44.49;148.29;296.57;210.00;343.15;2.91;556.09;1.80;
-2.53;-17.73;-194.27;-341.47;147.20;147.20;147347.20;44.16;147.20;294.40;210.00;343.15;2.91;505.06;1.98;
-59.56;-44.75;-197.25;-345.44;148.19;148.19;148335.69;44.46;148.19;296.38;210.00;351.02;2.85;505.06;1.98;
-9.00;4.94;-196.94;-346.00;149.06;149.06;149207.88;44.72;149.06;298.12;210.00;342.59;2.92;505.06;1.98;
23.61;-50.11;-199.89;-344.61;144.72;144.72;144866.94;43.42;144.72;289.44;210.00;342.59;2.92;525.75;1.90;
11.00;25.47;-198.47;-344.00;145.53;145.53;145671.84;43.66;145.53;291.05;210.00;353.21;2.83;477.33;2.10;
-8.55;5.20;-198.20;-344.45;146.25;146.25;146396.25;43.88;146.25;292.50;210.00;349.11;2.86;477.33;2.10;
1.38;14.48;-197.48;-344.38;146.90;146.90;147051.67;44.07;146.90;293.81;210.00;347.96;2.87;477.33;2.10;
48.09;38.64;-195.64;-342.09;146.45;146.45;146601.00;43.94;146.45;292.91;210.00;347.96;2.87;496.25;2.02;
7.74;2.52;-195.52;-341.74;146.22;146.22;146363.61;43.87;146.22;292.43;210.00;347.96;2.87;459.13;2.18;
-50.08;-55.08;-197.92;-343.92;146.00;146.00;146146.00;43.80;146.00;292.00;210.00;346.20;2.89;459.13;2.18;
-48.08;-83.60;-201.40;-345.92;144.52;144.52;144664.52;43.36;144.52;289.04;210.00;346.20;2.89;508.90;1.97;
-38.54;-80.38;-204.62;-347.46;142.85;142.85;142989.00;42.85;142.85;285.69;210.00;346.20;2.89;508.90;1.97;
-10.15;-81.26;-207.74;-347.85;140.11;140.11;140251.22;42.03;140.11;280.22;210.00;346.20;2.89;485.21;2.06;
57.71;-10.86;-208.14;-345.71;137.57;137.57;137709.00;41.27;137.57;275.14;210.00;389.50;2.57;485.21;2.06;
46.07;-20.14;-208.86;-344.07;135.21;135.21;135342.10;40.56;135.21;270.41;210.00;377.85;2.65;485.21;2.06;
15.53;-48.47;-210.53;-343.53;133.00;133.00;133133.00;39.90;133.00;266.00;210.00;379.85;2.63;485.21;2.06;
0.52;40.19;-209.19;-343.52;134.32;134.32;134456.90;40.30;134.32;268.65;210.00;379.85;2.63;495.16;2.02;
-18.88;19.56;-208.56;-344.13;135.56;135.56;135698.06;40.67;135.56;271.13;210.00;376.60;2.66;495.16;2.02;
35.03;-10.12;-208.88;-343.03;134.15;134.15;134285.67;40.25;134.15;268.30;210.00;376.60;2.66;487.61;2.05;
24.29;-19.53;-209.47;-342.29;132.82;132.82;132956.35;39.85;132.82;265.65;210.00;371.04;2.70;487.61;2.05;
33.31;-9.26;-209.74;-341.31;131.57;131.57;131703.00;39.47;131.57;263.14;200.00;386.06;2.59;487.61;2.05;
32.39;-9.00;-210.00;-340.39;130.39;130.39;130519.28;39.12;130.39;260.78;210.00;386.06;2.59;487.61;2.05;
21.78;-18.49;-210.51;-339.78;129.27;129.27;129399.54;38.78;129.27;258.54;210.00;388.48;2.57;487.61;2.05;
21.21;8.29;-210.29;-339.21;128.92;128.92;129049.97;38.68;128.92;257.84;210.00;388.48;2.57;593.61;1.68;
-0.77;-11.41;-210.59;-339.23;128.64;128.64;128769.67;38.59;128.64;257.28;210.00;410.10;2.44;593.61;1.68;
-0.75;14.23;-210.23;-339.25;129.03;129.03;129154.03;38.71;129.03;258.05;210.00;410.10;2.44;564.86;1.77;
-30.00;-15.39;-210.61;-340.00;129.39;129.39;129519.63;38.82;129.39;258.78;210.00;427.84;2.34;564.86;1.77;
43.93;9.38;-210.38;-338.93;128.55;128.55;128676.17;38.56;128.55;257.10;210.00;427.84;2.34;589.56;1.70;
23.37;-10.37;-210.63;-338.37;127.74;127.74;127871.93;38.32;127.74;255.49;210.00;424.34;2.36;589.56;1.70;
-21.14;8.43;-210.43;-338.86;128.43;128.43;128560.25;38.53;128.43;256.86;210.00;424.34;2.36;582.09;1.72;
-7.96;19.98;-209.98;-339.04;129.07;129.07;129195.73;38.72;129.07;258.13;210.00;424.34;2.36;563.13;1.78;
11.78;39.11;-209.11;-338.78;129.67;129.67;129803.59;38.90;129.67;259.35;210.00;438.38;2.28;563.13;1.78;
-8.04;34.36;-208.36;-338.96;130.60;130.60;130726.34;39.18;130.60;261.19;210.00;438.38;2.28;552.50;1.81;
-27.46;14.06;-208.06;-339.54;131.48;131.48;131610.65;39.44;131.48;262.96;230.00;435.25;2.30;552.50;1.81;
-26.90;13.78;-207.78;-340.10;132.33;132.33;132458.86;39.70;132.33;264.65;210.00;435.25;2.30;552.50;1.81;
-24.40;-12.96;-208.04;-340.60;132.56;132.56;132692.56;39.77;132.56;265.12;210.00;435.25;2.30;546.46;1.83;
-4.31;6.90;-207.90;-340.69;132.78;132.78;132917.10;39.84;132.78;265.57;210.00;429.86;2.33;546.46;1.83;
-2.27;28.35;-207.35;-340.73;133.38;133.38;133518.00;40.02;133.38;266.77;210.00;429.86;2.33;530.39;1.89;
-14.00;15.06;-207.06;-341.00;133.94;133.94;134077.34;40.18;133.94;267.89;210.00;429.86;2.33;512.13;1.95;
-13.74;-8.78;-207.22;-341.26;134.04;134.04;134171.07;40.21;134.04;268.07;210.00;429.86;2.33;496.48;2.01;
10.07;40.47;-206.47;-341.07;134.60;134.60;134734.60;40.38;134.60;269.20;210.00;425.89;2.35;496.48;2.01;
-9.75;20.11;-206.11;-341.25;135.14;135.14;135278.00;40.54;135.14;270.29;210.00;424.40;2.36;496.48;2.01;
-15.47;2.07;-206.07;-341.53;135.46;135.46;135591.60;40.64;135.46;270.91;210.00;424.40;2.36;494.45;2.02;
16.24;-4.84;-206.16;-341.24;135.09;135.09;135221.29;40.53;135.09;270.17;210.00;424.40;2.36;481.10;2.08;
45.46;24.73;-205.73;-340.46;134.73;134.73;134863.54;40.42;134.73;269.46;210.00;420.01;2.38;481.10;2.08;
28.97;15.47;-205.47;-339.97;134.50;134.50;134634.50;40.35;134.50;269.00;210.00;420.01;2.38;469.41;2.13;
28.49;46.69;-204.69;-339.49;134.80;134.80;134938.08;40.44;134.80;269.61;210.00;420.01;2.38;460.12;2.17;
21.15;45.94;-203.94;-339.15;135.21;135.21;135344.89;40.56;135.21;270.42;210.00;420.01;2.38;460.12;2.17;
-23.48;5.84;-203.84;-339.52;135.68;135.68;135818.22;40.70;135.68;271.37;210.00;417.40;2.40;447.61;2.23;
-23.11;-44.45;-204.55;-339.89;135.34;135.34;135479.09;40.60;135.34;270.69;210.00;417.40;2.40;441.71;2.26;
2.85;-43.77;-205.23;-339.85;134.62;134.62;134750.00;40.38;134.62;269.23;210.00;417.40;2.40;441.71;2.26;
15.61;-6.67;-205.33;-339.61;134.27;134.27;134407.00;40.28;134.27;268.55;210.00;417.40;2.40;434.91;2.30;
