GapBuy;GapSell;AvBid;AvAsk;Spread;SpreadK;MinLev;MinLevClose;FixTp;FixSl;FastSpread;dTFast;tpsFast;dTSlow;tpsSlow;
0.00;0.00;-192.00;-334.00;142.00;142.00;142142.00;42.60;142.00;284.00;210.00;20.99;47.63;0.00;0.00;
4.50;8.00;-184.00;-329.50;145.50;145.50;145645.50;43.65;145.50;291.00;210.00;20.99;47.63;79.95;12.51;
-3.00;-12.67;-190.33;-331.00;140.67;140.67;140807.33;42.20;140.67;281.33;210.00;213.87;4.68;97.69;10.24;
12.75;5.50;-188.50;-326.75;138.25;138.25;138388.25;41.48;138.25;276.50;210.00;216.20;4.63;97.69;10.24;
-9.00;4.40;-187.40;-329.00;141.60;141.60;141741.60;42.48;141.60;283.20;210.00;216.20;4.63;156.90;6.37;
-18.33;-6.33;-188.67;-332.67;144.00;144.00;144144.00;43.20;144.00;288.00;210.00;216.20;4.63;147.93;6.76;
-7.14;3.14;-188.14;-333.86;145.71;145.71;145860.00;43.71;145.71;291.43;210.00;255.96;3.91;147.93;6.76;
11.25;20.25;-185.25;-332.25;147.00;147.00;147147.00;44.10;147.00;294.00;210.00;410.80;2.43;147.93;6.76;
-6.00;-10.44;-186.56;-333.00;146.44;146.44;146590.89;43.93;146.44;292.89;210.00;410.80;2.43;299.93;3.33;
9.90;-2.20;-186.80;-331.90;145.10;145.10;145245.10;43.53;145.10;290.20;210.00;410.80;2.43;424.46;2.36;
-2.82;-3.82;-187.18;-332.18;145.00;145.00;145145.00;43.50;145.00;290.00;210.00;597.57;1.67;390.83;2.56;
-25.50;-4.42;-187.58;-334.50;146.92;146.92;147063.58;44.08;146.92;293.83;210.00;597.57;1.67;380.55;2.63;
-5.08;14.38;-186.38;-334.92;148.54;148.54;148687.00;44.56;148.54;297.08;210.00;560.15;1.79;380.55;2.63;
12.93;18.93;-184.93;-333.93;149.00;149.00;149149.00;44.70;149.00;298.00;210.00;560.15;1.79;371.00;2.70;
-6.60;-1.00;-185.00;-334.40;149.40;149.40;149549.40;44.82;149.40;298.80;210.00;524.61;1.91;371.00;2.70;
-17.44;-12.19;-185.81;-335.56;149.75;149.75;149899.75;44.93;149.75;299.50;210.00;524.61;1.91;348.83;2.87;
-5.12;0.76;-185.76;-335.88;150.12;150.12;150267.76;45.04;150.12;300.24;210.00;524.61;1.91;348.82;2.87;
-19.00;-8.72;-186.28;-337.00;150.72;150.72;150872.94;45.22;150.72;301.44;210.00;524.61;1.91;331.05;3.02;
0.95;10.68;-185.68;-336.95;151.26;151.26;151414.42;45.38;151.26;302.53;210.00;545.50;1.83;331.05;3.02;
-6.70;3.50;-185.50;-337.30;151.80;151.80;151951.80;45.54;151.80;303.60;210.00;558.81;1.79;369.47;2.71;
-14.00;-13.81;-186.19;-338.00;151.81;151.81;151961.33;45.54;151.81;303.62;210.00;558.81;1.79;356.62;2.80;
-1.91;0.18;-186.18;-338.09;151.91;151.91;152061.00;45.57;151.91;303.82;210.00;558.81;1.79;342.11;2.92;
17.30;19.30;-185.30;-337.30;152.00;152.00;152152.00;45.60;152.00;304.00;210.00;541.71;1.85;342.11;2.92;
-12.17;-10.25;-185.75;-337.83;152.08;152.08;152235.42;45.62;152.08;304.17;210.00;521.31;1.92;342.11;2.92;
13.28;13.20;-185.20;-337.28;152.08;152.08;152232.08;45.62;152.08;304.16;210.00;521.31;1.92;387.17;2.58;
-6.46;-6.54;-185.46;-337.54;152.08;152.08;152229.00;45.62;152.08;304.15;210.00;576.70;1.73;387.17;2.58;
22.67;22.59;-184.59;-336.67;152.07;152.07;152226.15;45.62;152.07;304.15;210.00;559.00;1.79;387.17;2.58;
-0.32;19.86;-183.86;-336.68;152.82;152.82;152974.25;45.85;152.82;305.64;210.00;559.00;1.79;398.69;2.51;
-3.21;-12.69;-184.31;-336.79;152.48;152.48;152635.24;45.74;152.48;304.97;210.00;539.39;1.85;383.94;2.60;
-6.00;14.80;-183.80;-337.00;153.20;153.20;153353.20;45.96;153.20;306.40;210.00;539.39;1.85;419.41;2.38;
20.32;12.39;-183.39;-336.32;152.94;152.94;153088.42;45.88;152.94;305.87;210.00;539.39;1.85;405.61;2.47;
0.31;-7.38;-183.63;-336.31;152.69;152.69;152840.19;45.81;152.69;305.38;210.00;586.75;1.70;405.61;2.47;
19.70;12.24;-183.24;-335.70;152.45;152.45;152607.00;45.74;152.45;304.91;210.00;576.69;1.73;405.61;2.47;
-5.15;12.85;-182.85;-335.85;153.00;153.00;153153.00;45.90;153.00;306.00;210.00;576.69;1.73;407.57;2.45;
22.20;-39.97;-184.03;-335.20;151.17;151.17;151322.60;45.35;151.17;302.34;210.00;576.69;1.73;421.06;2.37;
35.19;-42.75;-185.25;-334.19;148.94;148.94;149093.39;44.68;148.94;297.89;210.00;591.05;1.69;408.92;2.45;
73.16;-2.68;-185.32;-332.16;146.84;146.84;146984.68;44.05;146.84;293.68;210.00;575.09;1.74;408.92;2.45;
-13.47;-14.29;-185.71;-332.53;146.82;146.82;146962.61;44.04;146.82;293.63;210.00;575.09;1.74;404.44;2.47;
