GapBuy;GapSell;AvBid;AvAsk;Spread;SpreadK;MinLev;MinLevClose;FixTp;FixSl;FastSpread;dTFast;tpsFast;dTSlow;tpsSlow;
0.00;0.00;-211.00;-345.00;134.00;134.00;134134.00;40.20;134.00;268.00;210.00;0.00;0.00;0.00;0.00;
5.00;5.00;-206.00;-340.00;134.00;134.00;134134.00;40.20;134.00;268.00;210.00;1148.03;0.87;0.00;0.00;
10.00;10.00;-201.00;-335.00;134.00;134.00;134134.00;40.20;134.00;268.00;200.00;805.82;1.24;0.00;0.00;
7.50;7.50;-198.50;-332.50;134.00;134.00;134134.00;40.20;134.00;268.00;210.00;805.82;1.24;0.00;0.00;
0.40;7.60;-196.60;-332.40;135.80;135.80;135935.80;40.74;135.80;271.60;210.00;642.48;1.56;917.75;1.09;
-12.17;-2.83;-197.17;-334.83;137.67;137.67;137804.33;41.30;137.67;275.33;210.00;642.48;1.56;894.88;1.12;
-27.57;-19.57;-200.43;-339.43;139.00;139.00;139139.00;41.70;139.00;278.00;230.00;702.39;1.42;894.88;1.12;
-24.13;-17.13;-202.88;-342.88;140.00;140.00;140140.00;42.00;140.00;280.00;210.00;702.39;1.42;894.88;1.12;
-21.44;11.44;-201.44;-345.56;144.11;144.11;144255.22;43.23;144.11;288.22;210.00;702.39;1.42;697.15;1.43;
-1.30;10.30;-200.30;-345.70;145.40;145.40;145545.40;43.62;145.40;290.80;210.00;702.39;1.42;697.15;1.43;
-1.18;15.73;-198.73;-345.82;147.09;147.09;147238.00;44.13;147.09;294.18;210.00;702.39;1.42;596.03;1.68;
15.42;14.42;-197.42;-344.42;147.00;147.00;147147.00;44.10;147.00;294.00;210.00;702.39;1.42;596.03;1.68;
5.00;4.08;-197.08;-344.00;146.92;146.92;147070.00;44.08;146.92;293.85;210.00;626.81;1.60;596.03;1.68;
4.64;23.29;-195.29;-343.64;148.36;148.36;148505.50;44.51;148.36;296.71;210.00;626.81;1.60;594.63;1.68;
9.00;21.73;-193.73;-343.00;149.27;149.27;149415.93;44.78;149.27;298.53;210.00;626.81;1.60;594.63;1.68;
