LocalTime;FastTime;FastBid;FastAsk;SlowBid;SlowAsk;GapLong;GapShort;dTFast;tpsFast;dTSlow;tpsSlow;
06:53:38.641924;08:53:38.641924;16024.40;16026.70;16026.27;16027.59;0.00;0.00;1493.58;0.67;0.00;0.00;
06:53:39.022691;08:53:39.021690;16024.50;16026.80;16026.24;16027.86;-8.50;6.50;936.68;1.07;59.96;16.68;
06:53:39.284529;08:53:39.284529;16024.40;16026.70;16026.24;16027.86;-12.33;-2.33;712.06;1.40;59.96;16.68;
06:53:39.621321;08:53:39.284529;16024.40;16026.70;16026.43;16027.43;23.00;-16.00;712.06;1.40;470.21;2.13;
06:53:39.800211;08:53:39.284529;16024.40;16026.70;16026.18;16027.18;38.40;7.20;712.06;1.40;384.76;2.60;
06:53:39.818198;08:53:39.818198;16024.20;16026.50;16026.18;16027.18;15.33;-10.67;667.21;1.50;384.76;2.60;
06:53:40.005083;08:53:39.818198;16024.20;16026.50;16025.87;16027.24;8.00;17.43;667.21;1.50;339.79;2.94;
06:53:40.120014;08:53:40.120014;16024.00;16026.30;16025.87;16027.24;-10.50;-2.25;594.13;1.68;339.79;2.94;
06:53:40.891539;08:53:40.120014;16024.00;16026.30;16026.04;16027.24;-9.33;-17.11;594.13;1.68;449.12;2.23;
06:53:40.892536;08:53:40.120014;16024.00;16026.30;16026.04;16027.31;-14.70;-15.40;594.13;1.68;449.12;2.23;
06:53:40.907527;08:53:40.120014;16024.00;16026.30;16025.75;16027.36;-17.91;12.36;594.13;1.68;376.93;2.65;
06:53:40.937508;08:53:40.937508;16024.10;16026.40;16025.75;16027.36;-7.25;20.50;631.36;1.58;376.93;2.65;
06:53:41.253312;08:53:41.253312;16024.00;16026.40;16025.75;16027.36;-15.92;9.69;586.28;1.71;376.93;2.65;
06:53:41.254314;08:53:41.253312;16024.00;16026.30;16025.75;16027.36;-14.79;9.00;586.28;1.71;376.93;2.65;
06:53:43.299504;08:53:43.299504;16023.90;16026.30;16025.75;16027.36;-23.13;-0.93;768.77;1.30;376.93;2.65;
06:53:43.300503;08:53:43.299504;16023.90;16026.20;16025.75;16027.36;-21.69;-0.88;768.77;1.30;376.93;2.65;
06:53:43.644292;08:53:43.643292;16024.00;16026.30;16025.75;16027.36;-11.00;8.59;721.55;1.39;376.93;2.65;
06:53:44.739213;08:53:44.739213;16023.90;16026.30;16025.75;16027.36;-19.83;-1.33;758.89;1.32;376.93;2.65;
06:53:44.739213;08:53:44.739213;16023.90;16026.20;16025.75;16027.36;-18.79;-1.26;758.89;1.32;376.93;2.65;
06:53:45.279889;08:53:45.279889;16024.00;16026.30;16025.75;16027.36;-8.35;8.30;739.05;1.35;376.93;2.65;
06:53:45.966466;08:53:45.279889;16024.00;16026.30;16026.04;16027.31;-3.19;-19.71;739.05;1.35;1045.79;0.96;
06:53:46.058409;08:53:45.279889;16024.00;16026.30;16025.82;16027.28;-0.18;2.18;739.05;1.35;926.31;1.08;
06:53:46.355228;08:53:46.355228;16023.90;16026.30;16025.82;16027.28;-9.74;-7.48;767.07;1.30;926.31;1.08;
06:53:46.356225;08:53:46.355228;16023.90;16026.20;16025.82;16027.28;-9.33;-7.17;767.07;1.30;926.31;1.08;
06:53:46.727021;08:53:46.727021;16024.00;16026.20;16025.82;16027.28;0.64;2.72;736.67;1.36;926.31;1.08;
06:53:46.727021;08:53:46.727021;16024.00;16026.30;16025.82;16027.28;0.62;2.62;736.67;1.36;926.31;1.08;
06:53:47.437913;08:53:47.437913;16024.10;16026.40;16025.82;16027.28;10.22;12.15;734.83;1.36;926.31;1.08;
06:53:47.523859;08:53:47.437913;16024.10;16026.40;16026.03;16027.57;-18.11;-8.54;734.83;1.36;986.22;1.01;
06:53:47.752720;08:53:47.752720;16024.40;16026.70;16026.03;16027.57;11.48;20.72;706.83;1.41;986.22;1.01;
06:53:50.685721;08:53:47.752720;16024.40;16026.70;16026.02;16027.34;33.33;21.00;706.83;1.41;1203.98;0.83;
06:53:50.710706;08:53:50.710706;16024.00;16026.70;16026.02;16027.34;-6.45;-18.39;847.46;1.18;1203.98;0.83;
06:53:50.710706;08:53:50.710706;16024.00;16026.30;16026.02;16027.34;-6.25;-17.81;847.46;1.18;1203.98;0.83;
06:53:50.769670;08:53:50.710706;16024.00;16026.30;16025.89;16027.22;5.58;-4.67;847.46;1.18;1102.16;0.91;
06:53:51.019026;08:53:51.019026;16023.70;16026.00;16025.89;16027.22;-23.71;-33.65;815.75;1.23;1102.16;0.91;
06:53:51.360812;08:53:51.360812;16024.00;16026.00;16025.89;16027.22;6.11;-3.54;789.42;1.27;1102.16;0.91;
06:53:51.361812;08:53:51.360812;16024.00;16026.30;16025.89;16027.22;5.94;-3.44;789.42;1.27;1102.16;0.91;
06:53:52.816574;08:53:52.815574;16023.90;16026.20;16025.89;16027.22;-3.95;-13.08;824.43;1.21;1102.16;0.91;
06:53:53.555349;08:53:53.555349;16024.00;16026.30;16025.89;16027.22;5.89;-3.00;820.20;1.22;1102.16;0.91;
06:53:54.626421;08:53:54.626421;16023.90;16026.30;16025.89;16027.22;-4.00;-12.67;832.15;1.20;1102.16;0.91;
06:53:54.627421;08:53:54.626421;16023.90;16026.20;16025.89;16027.22;-3.90;-12.35;832.15;1.20;1102.16;0.91;
