GapBuy;GapSell;AvBid;AvAsk;Spread;SpreadK;MinLev;MinLevClose;FixTp;FixSl;FastSpread;dTFast;tpsFast;dTSlow;tpsSlow;
0.00;0.00;-203.00;-328.00;125.00;125.00;125125.00;37.50;125.00;250.00;210.00;0.00;0.00;0.00;0.00;
5.00;5.00;-198.00;-323.00;125.00;125.00;125125.00;37.50;125.00;250.00;210.00;191.88;5.21;0.00;0.00;
-23.33;-0.67;-198.33;-334.67;136.33;136.33;136469.67;40.90;136.33;272.67;210.00;242.35;4.13;232.86;4.29;
-17.50;-2.00;-199.00;-340.50;141.50;141.50;141641.50;42.45;141.50;283.00;210.00;242.35;4.13;667.09;1.50;
18.00;0.80;-198.80;-336.00;137.20;137.20;137337.20;41.16;137.20;274.40;210.00;474.37;2.11;475.04;2.11;
6.67;-7.67;-200.33;-334.67;134.33;134.33;134467.67;40.30;134.33;268.67;210.00;427.99;2.34;475.04;2.11;
-2.86;-15.14;-202.86;-335.14;132.29;132.29;132418.00;39.69;132.29;264.57;210.00;488.30;2.05;475.04;2.11;
-2.50;-17.63;-205.38;-335.50;130.13;130.13;130255.13;39.04;130.13;260.25;210.00;488.30;2.05;642.85;1.56;
-43.11;-15.67;-207.33;-340.89;133.56;133.56;133689.11;40.07;133.56;267.11;210.00;488.30;2.05;642.85;1.56;
-11.80;12.90;-205.90;-342.20;136.30;136.30;136436.30;40.89;136.30;272.60;210.00;457.72;2.18;642.85;1.56;
16.55;7.18;-205.18;-340.55;135.36;135.36;135499.00;40.61;135.36;270.73;210.00;457.72;2.18;602.63;1.66;
-3.17;-11.75;-206.25;-340.83;134.58;134.58;134717.92;40.37;134.58;269.17;210.00;434.16;2.30;602.63;1.66;
-26.00;-10.85;-207.15;-343.00;135.85;135.85;135982.00;40.75;135.85;271.69;210.00;434.16;2.30;561.49;1.78;
-5.57;8.50;-206.50;-343.43;136.93;136.93;137065.50;41.08;136.93;273.86;210.00;423.11;2.36;561.49;1.78;
