GapBuy;GapSell;AvBid;AvAsk;Spread;SpreadK;MinLev;MinLevClose;FixTp;FixSl;FastSpread;dTFast;tpsFast;dTSlow;tpsSlow;
0.00;0.00;-187.00;-319.00;132.00;132.00;132132.00;39.60;132.00;264.00;230.00;1493.58;0.67;0.00;0.00;
-8.50;6.50;-180.50;-327.50;147.00;147.00;147147.00;44.10;147.00;294.00;230.00;936.68;1.07;59.96;16.68;
-12.33;-2.33;-181.67;-333.67;152.00;152.00;152152.00;45.60;152.00;304.00;230.00;712.06;1.40;59.96;16.68;
23.00;-16.00;-187.00;-326.00;139.00;139.00;139139.00;41.70;139.00;278.00;230.00;712.06;1.40;470.21;2.13;
38.40;7.20;-185.20;-316.40;131.20;131.20;131331.20;39.36;131.20;262.40;230.00;712.06;1.40;384.76;2.60;
15.33;-10.67;-187.33;-313.33;126.00;126.00;126126.00;37.80;126.00;252.00;230.00;667.21;1.50;384.76;2.60;
8.00;17.43;-184.43;-312.00;127.57;127.57;127699.00;38.27;127.57;255.14;230.00;667.21;1.50;339.79;2.94;
-10.50;-2.25;-184.75;-313.50;128.75;128.75;128878.75;38.63;128.75;257.50;230.00;594.13;1.68;339.79;2.94;
-9.33;-17.11;-186.89;-314.67;127.78;127.78;127905.56;38.33;127.78;255.56;230.00;594.13;1.68;449.12;2.23;
-14.70;-15.40;-188.60;-316.30;127.70;127.70;127827.70;38.31;127.70;255.40;230.00;594.13;1.68;449.12;2.23;
-17.91;12.36;-187.36;-318.09;130.73;130.73;130858.00;39.22;130.73;261.45;230.00;594.13;1.68;376.93;2.65;
-7.25;20.50;-185.50;-318.75;133.25;133.25;133383.25;39.98;133.25;266.50;230.00;631.36;1.58;376.93;2.65;
-15.92;9.69;-184.69;-320.08;135.38;135.38;135520.00;40.62;135.38;270.77;240.00;586.28;1.71;376.93;2.65;
-14.79;9.00;-184.00;-321.21;137.21;137.21;137351.50;41.16;137.21;274.43;230.00;586.28;1.71;376.93;2.65;
-23.13;-0.93;-184.07;-322.87;138.80;138.80;138938.80;41.64;138.80;277.60;240.00;768.77;1.30;376.93;2.65;
-21.69;-0.88;-184.13;-324.31;140.19;140.19;140327.69;42.06;140.19;280.38;230.00;768.77;1.30;376.93;2.65;
-11.00;8.59;-183.59;-325.00;141.41;141.41;141553.18;42.42;141.41;282.82;230.00;721.55;1.39;376.93;2.65;
-19.83;-1.33;-183.67;-326.17;142.50;142.50;142642.50;42.75;142.50;285.00;240.00;758.89;1.32;376.93;2.65;
-18.79;-1.26;-183.74;-327.21;143.47;143.47;143617.16;43.04;143.47;286.95;230.00;758.89;1.32;376.93;2.65;
-8.35;8.30;-183.30;-327.65;144.35;144.35;144494.35;43.31;144.35;288.70;230.00;739.05;1.35;376.93;2.65;
-3.19;-19.71;-184.29;-327.81;143.52;143.52;143667.33;43.06;143.52;287.05;230.00;739.05;1.35;1045.79;0.96;
-0.18;2.18;-184.18;-327.82;143.64;143.64;143780.00;43.09;143.64;287.27;230.00;739.05;1.35;926.31;1.08;
-9.74;-7.48;-184.52;-328.26;143.74;143.74;143882.87;43.12;143.74;287.48;240.00;767.07;1.30;926.31;1.08;
