LocalTime;FastTime;FastBid;FastAsk;SlowBid;SlowAsk;GapLong;GapShort;dTFast;tpsFast;dTSlow;tpsSlow;
09:04:58.539096;11:04:58.492134;16026.80;16028.90;16028.98;16030.59;0.00;0.00;0.00;0.00;0.00;0.00;
09:04:58.806930;11:04:58.806930;16027.10;16028.90;16028.98;16030.59;15.00;15.00;314.80;3.18;0.00;0.00;
09:04:59.159760;11:04:59.082778;16027.00;16029.10;16028.98;16030.59;3.33;3.33;295.32;3.39;0.00;0.00;
09:04:59.536253;11:04:59.536253;16027.10;16029.20;16028.98;16030.59;10.00;10.00;348.04;2.87;0.00;0.00;
09:04:59.859053;11:04:59.859053;16026.80;16028.90;16028.98;16030.59;-16.00;-16.00;341.73;2.93;0.00;0.00;
09:05:00.161378;11:05:00.161378;16027.10;16029.20;16028.98;16030.59;11.67;11.67;333.85;3.00;0.00;0.00;
09:05:00.704045;11:05:00.161378;16027.10;16029.20;16029.33;16030.48;19.43;-20.00;333.85;3.00;2163.95;0.46;
09:05:00.794987;11:05:00.161378;16027.10;16029.20;16029.06;16030.51;14.38;6.13;333.85;3.00;1127.95;0.89;
09:05:00.871940;11:05:00.161378;16027.10;16029.20;16029.23;16030.59;5.67;-9.67;333.85;3.00;771.95;1.30;
09:05:00.954888;11:05:00.161378;16027.10;16029.20;16028.99;16030.59;5.10;12.90;333.85;3.00;603.95;1.66;
09:05:01.026846;11:05:00.161378;16027.10;16029.20;16028.99;16030.57;6.45;11.73;333.85;3.00;603.95;1.66;
09:05:01.396615;11:05:00.161378;16027.10;16029.20;16029.28;16030.54;8.67;-15.83;333.85;3.00;571.50;1.75;
09:05:01.911299;11:05:01.911299;16027.20;16029.30;16029.28;16030.54;17.23;-5.38;569.86;1.75;571.50;1.75;
09:05:01.986252;11:05:01.911299;16027.20;16029.30;16029.25;16030.81;-9.07;-2.21;569.86;1.75;571.19;1.75;
09:05:02.087191;11:05:01.911299;16027.20;16029.30;16029.64;16030.67;4.60;-38.47;569.86;1.75;506.87;1.97;
09:05:02.205115;11:05:02.205115;16027.40;16029.50;16029.64;16030.67;23.06;-17.31;530.43;1.89;506.87;1.97;
09:05:03.301440;11:05:03.301440;16027.50;16029.50;16029.64;16030.67;31.12;-6.88;601.16;1.66;506.87;1.97;
09:05:03.372396;11:05:03.301440;16027.50;16029.60;16029.64;16030.67;29.39;-6.50;601.16;1.66;506.87;1.97;
09:05:03.614247;11:05:03.301440;16027.50;16029.60;16029.39;16030.67;27.84;17.53;601.16;1.66;634.39;1.58;
09:05:03.686204;11:05:03.652224;16027.30;16029.40;16029.39;16030.68;6.50;-2.35;573.34;1.74;634.39;1.58;
