LocalTime;FastTime;FastBid;FastAsk;SlowBid;SlowAsk;GapLong;GapShort;dTFast;tpsFast;dTSlow;tpsSlow;
09:06:17.544856;11:06:17.544856;16024.50;16026.60;16026.53;16027.78;0.00;0.00;0.00;0.00;0.00;0.00;
09:06:17.737736;11:06:17.737736;16024.60;16026.70;16026.53;16027.78;5.00;5.00;191.88;5.21;0.00;0.00;
09:06:18.139488;11:06:18.030558;16024.50;16026.60;16026.49;16028.08;-23.33;-0.67;242.35;4.13;232.86;4.29;
09:06:18.880031;11:06:18.030558;16024.50;16026.60;16026.51;16028.08;-17.50;-2.00;242.35;4.13;667.09;1.50;
09:06:18.985967;11:06:18.968978;16024.20;16026.30;16026.18;16027.38;18.00;0.80;474.37;2.11;475.04;2.11;
09:06:19.257798;11:06:19.257798;16024.10;16026.20;16026.18;16027.38;6.67;-7.67;427.99;2.34;475.04;2.11;
09:06:19.987348;11:06:19.987348;16024.00;16026.10;16026.18;16027.38;-2.86;-15.14;488.30;2.05;475.04;2.11;
09:06:20.116268;11:06:19.987348;16024.00;16026.10;16026.23;16027.38;-2.50;-17.63;488.30;2.05;642.85;1.56;
09:06:20.184227;11:06:19.987348;16024.00;16026.10;16026.23;16027.84;-43.11;-15.67;488.30;2.05;642.85;1.56;
09:06:20.292161;11:06:20.292161;16024.30;16026.40;16026.23;16027.84;-11.80;12.90;457.72;2.18;642.85;1.56;
09:06:20.557995;11:06:20.292161;16024.30;16026.40;16026.28;16027.54;16.55;7.18;457.72;2.18;602.63;1.66;
09:06:20.633949;11:06:20.584980;16024.10;16026.20;16026.28;16027.54;-3.17;-11.75;434.16;2.30;602.63;1.66;
09:06:20.913777;11:06:20.584980;16024.10;16026.20;16026.28;16027.79;-26.00;-10.85;434.16;2.30;561.49;1.78;
09:06:20.977738;11:06:20.930766;16024.30;16026.40;16026.28;16027.79;-5.57;8.50;423.11;2.36;561.49;1.78;
