LocalTime;FastTime;FastBid;FastAsk;SlowBid;SlowAsk;GapLong;GapShort;dTFast;tpsFast;dTSlow;tpsSlow;
08:34:35.761770;10:34:35.385503;16026.80;16028.90;16028.99;16030.21;0.00;0.00;0.00;0.00;0.00;0.00;
08:34:36.182509;10:34:36.181511;16026.80;16028.90;16028.78;16030.41;-10.00;10.50;796.01;1.26;124.92;8.00;
08:34:36.232478;10:34:36.181511;16026.80;16028.90;16028.91;16030.54;-15.33;-1.67;796.01;1.26;156.90;6.37;
08:34:36.521306;10:34:36.462345;16027.00;16029.10;16028.91;16030.54;3.50;13.75;624.28;1.60;156.90;6.37;
08:34:36.533299;10:34:36.462345;16027.00;16029.10;16028.81;16030.39;14.80;19.00;624.28;1.60;192.88;5.18;
08:34:36.636236;10:34:36.462345;16027.00;16029.10;16028.96;16030.48;4.83;3.33;624.28;1.60;174.89;5.72;
08:34:36.731177;10:34:36.731177;16027.10;16029.20;16028.96;16030.48;12.71;11.43;535.42;1.87;174.89;5.72;
08:34:37.851621;10:34:36.731177;16027.10;16029.20;16029.09;16030.60;0.63;-1.38;535.42;1.87;348.31;2.87;
08:34:37.910584;10:34:37.910584;16027.30;16029.20;16029.09;16030.60;18.33;16.56;664.22;1.51;348.31;2.87;
08:34:37.911584;10:34:37.910584;16027.30;16029.40;16029.09;16030.60;16.50;14.90;664.22;1.51;348.31;2.87;
08:34:38.064997;10:34:37.910584;16027.30;16029.40;16029.24;16030.21;50.45;-0.09;664.22;1.51;329.03;3.04;
08:34:38.230893;10:34:38.230893;16027.10;16029.20;16029.24;16030.21;27.92;-18.42;606.90;1.65;329.03;3.04;
08:34:39.745120;10:34:39.745120;16027.00;16029.10;16029.24;16030.21;16.54;-26.23;736.52;1.36;329.03;3.04;
08:34:40.079915;10:34:40.077916;16027.30;16029.40;16029.24;16030.21;43.21;3.50;686.05;1.46;329.03;3.04;
08:34:40.100902;10:34:40.077916;16027.30;16029.40;16029.05;16030.64;0.20;21.00;686.05;1.46;542.39;1.84;
08:34:40.184849;10:34:40.077916;16027.30;16029.40;16028.97;16030.47;16.13;27.19;686.05;1.46;491.45;2.03;
08:34:40.359742;10:34:40.359742;16027.10;16029.20;16028.97;16030.47;-3.65;6.76;641.14;1.56;491.45;2.03;
08:34:41.303164;10:34:40.359742;16027.10;16029.20;16029.06;16030.47;-3.44;-2.11;641.14;1.56;554.14;1.80;
08:34:41.303164;10:34:40.359742;16027.10;16029.20;16029.06;16030.64;-19.37;-2.00;641.14;1.56;554.14;1.80;
08:34:41.384250;10:34:41.384250;16027.30;16029.40;16029.06;16030.64;0.60;17.10;679.38;1.47;554.14;1.80;
08:34:41.508174;10:34:41.384250;16027.30;16029.40;16028.93;16030.51;12.95;28.67;679.38;1.47;522.31;1.91;
08:34:41.582128;10:34:41.384250;16027.30;16029.40;16029.10;16030.60;3.77;11.14;679.38;1.47;484.78;2.06;
08:34:41.673247;10:34:41.672248;16027.10;16029.20;16029.10;16030.60;-15.52;-8.48;643.80;1.55;484.78;2.06;
08:34:42.538211;10:34:41.672248;16027.10;16029.20;16028.96;16030.48;-3.38;5.29;643.80;1.55;521.11;1.92;
08:34:42.666132;10:34:41.672248;16027.10;16029.20;16029.19;16030.50;-5.16;-17.00;643.80;1.55;493.03;2.03;
08:34:42.917977;10:34:42.917977;16027.30;16029.20;16029.19;16030.50;14.27;2.88;693.96;1.44;493.03;2.03;
08:34:42.918978;10:34:42.917977;16027.30;16029.40;16029.19;16030.50;13.74;2.78;693.96;1.44;493.03;2.03;
08:34:43.280754;10:34:42.917977;16027.30;16029.40;16028.95;16030.49;14.21;25.82;693.96;1.44;501.13;2.00;
08:34:43.328724;10:34:43.325726;16027.10;16029.20;16028.95;16030.49;-5.59;5.62;671.94;1.49;501.13;2.00;
08:34:43.481630;10:34:43.325726;16027.10;16029.20;16029.25;16030.69;-24.73;-23.57;671.94;1.49;482.37;2.07;
08:34:43.619544;10:34:43.619544;16027.30;16029.20;16029.25;16030.69;-4.58;-3.45;644.93;1.55;482.37;2.07;
08:34:43.619544;10:34:43.619544;16027.30;16029.40;16029.25;16030.69;-4.44;-3.34;644.93;1.55;482.37;2.07;
08:34:43.644530;10:34:43.619544;16027.30;16029.40;16029.08;16030.62;2.48;13.24;644.93;1.55;463.57;2.16;
08:34:43.675509;10:34:43.619544;16027.30;16029.40;16029.19;16030.62;2.41;2.18;644.93;1.55;439.54;2.28;
08:34:43.676509;10:34:43.619544;16027.30;16029.40;16029.19;16030.76;-11.26;2.11;644.93;1.55;439.54;2.28;
08:34:43.775447;10:34:43.619544;16027.30;16029.40;16029.25;16030.95;-29.42;-3.78;644.93;1.55;421.67;2.37;
08:34:44.390541;10:34:43.619544;16027.30;16029.40;16029.56;16030.89;-22.78;-33.84;644.93;1.55;431.34;2.32;
08:34:44.449501;10:34:44.449501;16027.50;16029.40;16029.56;16030.89;-2.71;-13.47;657.27;1.52;431.34;2.32;
08:34:44.450502;10:34:44.449501;16027.50;16029.60;16029.56;16030.89;-2.64;-13.13;657.27;1.52;431.34;2.32;
08:34:44.507467;10:34:44.449501;16027.50;16029.60;16029.65;16031.30;-42.55;-21.58;657.27;1.52;416.37;2.40;
08:34:44.602408;10:34:44.449501;16027.50;16029.60;16029.50;16031.20;-31.76;-6.41;657.27;1.52;401.76;2.49;
08:34:44.702346;10:34:44.449501;16027.50;16029.60;16029.03;16030.66;21.71;39.62;657.27;1.52;388.63;2.57;
08:34:44.794289;10:34:44.794289;16027.80;16029.60;16029.03;16030.66;50.51;68.00;637.67;1.57;388.63;2.57;
08:34:44.794289;10:34:44.794289;16027.80;16029.90;16029.03;16030.66;49.36;66.45;637.67;1.57;388.63;2.57;
08:34:45.160065;10:34:44.794289;16027.80;16029.90;16029.15;16030.79;35.56;53.24;637.67;1.57;391.51;2.55;
08:34:47.648363;10:34:44.794289;16027.80;16029.90;16029.01;16030.68;45.54;65.78;637.67;1.57;475.34;2.10;
08:34:47.715322;10:34:44.794289;16027.80;16029.90;16029.17;16030.68;44.57;48.72;637.67;1.57;459.64;2.18;
08:34:47.715322;10:34:44.794289;16027.80;16029.90;16029.17;16030.77;34.83;47.71;637.67;1.57;459.64;2.18;
08:34:48.217378;10:34:48.217378;16027.10;16029.90;16029.17;16030.77;-34.45;-21.84;801.52;1.25;459.64;2.18;
08:34:48.218376;10:34:48.217378;16027.10;16029.20;16029.17;16030.77;-33.76;-21.40;801.52;1.25;459.64;2.18;
08:34:48.530507;10:34:48.530507;16027.30;16029.40;16029.17;16030.77;-13.49;-1.37;774.39;1.29;459.64;2.18;
08:34:49.765331;10:34:48.530507;16027.30;16029.40;16029.48;16030.72;-8.33;-31.75;774.39;1.29;518.54;1.93;
08:34:49.865270;10:34:49.865270;16027.40;16029.50;16029.48;16030.72;1.64;-21.34;803.88;1.24;518.54;1.93;
08:34:49.967207;10:34:49.865270;16027.40;16029.50;16029.18;16030.77;-3.30;8.50;803.88;1.24;507.19;1.97;
08:34:50.119623;10:34:50.119623;16027.30;16029.50;16029.18;16030.77;-13.05;-1.47;776.41;1.29;507.19;1.97;
08:34:50.119623;10:34:50.119623;16027.30;16029.40;16029.18;16030.77;-12.82;-1.45;776.41;1.29;507.19;1.97;
08:34:50.417540;10:34:50.119623;16027.30;16029.40;16029.34;16030.77;-12.60;-17.14;776.41;1.29;505.27;1.98;
08:34:50.418541;10:34:50.119623;16027.30;16029.40;16029.34;16030.85;-20.24;-16.84;776.41;1.29;505.27;1.98;
08:34:50.520520;10:34:50.119623;16027.30;16029.40;16029.20;16030.75;-10.07;-2.80;776.41;1.29;491.86;2.03;
08:34:51.760406;10:34:50.119623;16027.30;16029.40;16029.03;16030.75;-9.90;13.97;776.41;1.29;515.99;1.94;
08:34:51.761406;10:34:50.119623;16027.30;16029.40;16029.03;16030.67;-1.87;13.74;776.41;1.29;515.99;1.94;
