LocalTime;FastTime;FastBid;FastAsk;SlowBid;SlowAsk;GapLong;GapShort;dTFast;tpsFast;dTSlow;tpsSlow;
09:06:33.974295;11:06:33.912334;16025.50;16027.60;16027.61;16028.95;0.00;0.00;0.00;0.00;0.00;0.00;
09:06:35.064369;11:06:35.061370;16025.60;16027.70;16027.61;16028.95;5.00;5.00;1148.03;0.87;0.00;0.00;
09:06:35.524973;11:06:35.524973;16025.70;16027.70;16027.61;16028.95;10.00;10.00;805.82;1.24;0.00;0.00;
09:06:35.525974;11:06:35.524973;16025.70;16027.80;16027.61;16028.95;7.50;7.50;805.82;1.24;0.00;0.00;
09:06:35.898744;11:06:35.840779;16025.80;16027.90;16027.69;16029.12;0.40;7.60;642.48;1.56;917.75;1.09;
09:06:36.658939;11:06:35.840779;16025.80;16027.90;16027.80;16029.27;-12.17;-2.83;642.48;1.56;894.88;1.12;
09:06:36.722900;11:06:36.722900;16025.60;16027.90;16027.80;16029.27;-27.57;-19.57;702.39;1.42;894.88;1.12;
09:06:36.723900;11:06:36.722900;16025.60;16027.70;16027.80;16029.27;-24.13;-17.13;702.39;1.42;894.88;1.12;
09:06:36.762876;11:06:36.722900;16025.60;16027.70;16027.50;16029.27;-21.44;11.44;702.39;1.42;697.15;1.43;
09:06:36.763876;11:06:36.722900;16025.60;16027.70;16027.50;16029.07;-1.30;10.30;702.39;1.42;697.15;1.43;
09:06:36.954443;11:06:36.722900;16025.60;16027.70;16027.43;16029.07;-1.18;15.73;702.39;1.42;596.03;1.68;
09:06:36.955444;11:06:36.722900;16025.60;16027.70;16027.43;16028.89;15.42;14.42;702.39;1.42;596.03;1.68;
09:06:37.047385;11:06:37.047385;16025.50;16027.60;16027.43;16028.89;5.00;4.08;626.81;1.60;596.03;1.68;
09:06:37.542081;11:06:37.047385;16025.50;16027.60;16027.22;16028.89;4.64;23.29;626.81;1.60;594.63;1.68;
09:06:37.543081;11:06:37.047385;16025.50;16027.60;16027.22;16028.84;9.00;21.73;626.81;1.60;594.63;1.68;
09:06:37.555074;11:06:37.555074;16025.30;16027.60;16027.22;16028.84;-10.31;1.63;606.96;1.65;594.63;1.68;
09:06:37.555074;11:06:37.555074;16025.30;16027.40;16027.22;16028.84;-9.71;1.53;606.96;1.65;594.63;1.68;
09:06:37.800928;11:06:37.555074;16025.30;16027.40;16027.27;16028.55;18.22;-3.28;606.96;1.65;546.66;1.83;
09:06:37.900867;11:06:37.900867;16025.20;16027.40;16027.27;16028.55;7.79;-12.58;569.65;1.76;546.66;1.83;
09:06:37.901866;11:06:37.900867;16025.20;16027.30;16027.27;16028.55;7.40;-11.95;569.65;1.76;546.66;1.83;
09:06:37.973822;11:06:37.900867;16025.20;16027.30;16026.96;16028.61;1.33;18.14;569.65;1.76;499.94;2.00;
09:06:38.226665;11:06:38.226665;16025.10;16027.30;16026.96;16028.61;-8.27;7.77;539.17;1.85;499.94;2.00;
