GapBuy;GapSell;FastCoef;Position;AvBid;AvAsk;Spread;SpreadK;MinLev;MinLevClose;FixTp;FixSl;TrailSl;FastSpread;dTFast;tpsFast;dTSlow;tpsSlow;
0.00;0.00;0.54;none;-645650.00;-646670.00;220.00;1.00;620.00;250.00;1.00;227.00;-1000.00;800.00;0.00;0.00;0.00;0.00;
-20.00;-20.00;0.54;none;-645670.00;-646690.00;220.00;1.00;620.00;250.00;1.00;227.00;-1000.00;800.00;0.00;0.00;364.55;2.74;
53.33;53.33;0.54;none;-645643.33;-646663.33;220.00;1.00;620.00;250.00;1.00;227.00;-1000.00;800.00;0.00;0.00;478.52;2.09;
-27.50;-27.50;0.54;none;-645652.50;-646672.50;220.00;1.00;620.00;250.00;1.00;227.00;-1000.00;800.00;0.00;0.00;554.56;1.80;
-6.00;-6.00;0.54;none;-645654.00;-646674.00;220.00;1.00;620.00;250.00;1.00;227.00;-1000.00;800.00;0.00;0.00;486.98;2.05;
-121.67;-121.67;0.54;none;-645678.33;-646698.33;220.00;1.00;620.00;250.00;1.00;227.00;-1000.00;800.00;0.00;0.00;450.88;2.22;
-95.71;-95.71;0.54;none;-645694.29;-646714.29;220.00;1.00;620.00;250.00;1.00;227.00;-1000.00;800.00;0.00;0.00;424.27;2.36;
3.75;3.75;0.54;none;-645693.75;-646713.75;220.00;1.00;620.00;250.00;1.00;227.00;-1000.00;800.00;2899.17;0.34;424.27;2.36;
56.67;56.67;0.54;none;-645686.67;-646706.67;220.00;1.00;620.00;250.00;1.00;227.00;-1000.00;800.00;2899.17;0.34;464.75;2.15;
