GapBuy;GapSell;FastCoef;Position;AvBid;AvAsk;Spread;SpreadK;MinLev;MinLevClose;FixTp;FixSl;TrailSl;FastSpread;dTFast;tpsFast;dTSlow;tpsSlow;
0.00;0.00;0.50;none;-625580.00;-625820.00;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;80.00;3.66;273.46;0.00;0.00;
-65.00;-65.00;0.50;none;-625645.00;-625885.00;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;80.00;3.66;273.46;301.71;3.31;
-36.67;-36.67;0.50;none;-625663.33;-625903.33;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;80.00;3.66;273.46;301.21;3.32;
160.00;160.00;0.50;none;-625610.00;-625850.00;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;80.00;232.79;4.30;298.63;3.35;
88.00;88.00;0.50;none;-625588.00;-625828.00;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;80.00;232.79;4.30;300.50;3.33;
23.33;23.33;0.50;none;-625583.33;-625823.33;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;80.00;232.79;4.30;299.64;3.34;
-82.86;45.71;0.50;none;-625575.71;-625837.14;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;230.00;385.32;2.60;299.64;3.34;
-20.00;92.50;0.50;none;-625562.50;-625840.00;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;230.00;385.32;2.60;300.23;3.33;
231.11;331.11;0.50;none;-625521.11;-625811.11;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;230.00;385.32;2.60;300.30;3.33;
46.00;136.00;0.49;none;-625506.00;-625806.00;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;230.00;385.32;2.60;299.91;3.33;
60.00;5.45;0.15;none;-625505.45;-625800.00;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;80.00;490.03;2.04;299.91;3.33;
174.17;124.17;0.15;none;-625494.17;-625784.17;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;80.00;490.03;2.04;303.32;3.30;
206.92;160.77;0.14;none;-625480.77;-625766.92;160.00;1.00;560.00;250.00;1.00;167.00;-1000.00;80.00;490.03;2.04;299.67;3.34;
