GapBuy;GapSell;FastCoef;Position;AvBid;AvAsk;Spread;SpreadK;MinLev;MinLevClose;FixTp;FixSl;TrailSl;FastSpread;dTFast;tpsFast;dTSlow;tpsSlow;
52.90;52.90;0.91;none;-275.90;-275.90;336.83;336.83;774.70;437.87;336.83;673.65;-1000.00;312.00;1867.69;0.54;3648.00;0.27;
52.08;52.08;0.79;none;-275.08;-275.08;336.88;336.88;774.81;437.94;336.88;673.75;-1000.00;268.00;1867.69;0.54;3648.00;0.27;
7.95;7.95;1.39;none;-274.95;-274.95;336.92;336.92;774.92;438.00;336.92;673.85;-1000.00;256.00;1802.81;0.55;3648.00;0.27;
58.06;58.06;2.34;none;-274.06;-274.06;336.97;336.97;775.03;438.06;336.97;673.94;-1000.00;205.00;1813.27;0.55;3648.00;0.27;
57.19;57.19;10000000.00;none;-273.19;-273.19;337.01;337.01;775.13;438.12;337.01;674.03;-1000.00;253.00;1813.27;0.55;3648.00;0.27;
-12.62;-12.62;10000000.00;none;-273.38;-273.38;337.06;337.06;775.24;438.18;337.06;674.12;-1000.00;293.00;1768.15;0.57;3648.00;0.27;
77.25;77.25;10000000.00;none;-272.25;-272.25;337.10;337.10;775.33;438.23;337.10;674.20;-1000.00;211.00;1760.57;0.57;3648.00;0.27;
-22.43;-22.43;6.61;none;-272.57;-272.57;335.71;335.71;772.14;436.43;335.71;671.43;-1000.00;211.00;1760.57;0.57;4555.13;0.22;
-22.11;-22.11;2.99;none;-272.89;-272.89;335.77;335.77;772.28;436.51;335.77;671.55;-1000.00;211.00;1760.57;0.57;4555.13;0.22;
-112.53;-112.53;2.99;none;-274.47;-274.47;335.83;335.83;772.42;436.58;335.83;671.67;-1000.00;296.00;1707.70;0.59;4555.13;0.22;
-12.36;-12.36;1.36;none;-274.64;-274.64;335.89;335.89;772.55;436.66;335.89;671.78;-1000.00;296.00;1707.70;0.59;4224.11;0.24;
53.91;53.91;1.41;none;-273.91;-273.91;335.95;335.95;772.68;436.73;335.95;671.89;-1000.00;229.00;1700.77;0.59;4224.11;0.24;
53.19;53.19;1.24;none;-273.19;-273.19;336.00;336.00;772.80;436.80;336.00;672.00;-1000.00;261.00;1700.77;0.59;4224.11;0.24;
-46.20;-46.20;0.89;none;-273.80;-273.80;334.74;334.74;769.89;435.16;334.74;669.47;-1000.00;261.00;1700.77;0.59;4018.23;0.25;
-45.60;-45.60;0.66;none;-274.40;-274.40;334.81;334.81;770.05;435.25;334.81;669.61;-1000.00;261.00;1700.77;0.59;4018.23;0.25;
53.71;53.71;0.43;none;-273.71;-273.71;336.15;336.15;773.15;437.00;336.15;672.31;-1000.00;261.00;1700.77;0.59;3764.95;0.27;
53.03;53.03;0.25;none;-273.03;-273.03;336.20;336.20;773.27;437.06;336.20;672.41;-1000.00;261.00;1700.77;0.59;3764.95;0.27;
98.78;98.78;0.35;none;-271.78;-271.78;336.25;336.25;773.38;437.13;336.25;672.50;-1000.00;214.00;1697.89;0.59;3764.95;0.27;
97.56;97.56;0.50;none;-270.56;-270.56;336.30;336.30;773.48;437.19;336.30;672.59;-1000.00;267.00;1697.89;0.59;3764.95;0.27;
67.72;67.72;0.50;none;-269.72;-269.72;336.34;336.34;773.59;437.24;336.34;672.68;-1000.00;226.00;1706.92;0.59;3764.95;0.27;
93.58;93.58;0.99;none;-268.58;-268.58;336.39;336.39;773.69;437.30;336.39;672.77;-1000.00;271.00;1661.44;0.60;3764.95;0.27;
91.48;91.48;0.83;none;-267.48;-267.48;336.43;336.43;773.79;437.36;336.43;672.86;-1000.00;272.00;1618.13;0.62;3764.95;0.27;
90.40;90.40;1.00;none;-266.40;-266.40;336.47;336.47;773.88;437.41;336.47;672.94;-1000.00;173.00;1618.13;0.62;3764.95;0.27;
86.38;86.38;1.68;none;-265.38;-265.38;336.51;336.51;773.98;437.47;336.51;673.02;-1000.00;279.00;1592.75;0.63;3764.95;0.27;
64.63;64.63;3.02;none;-264.63;-264.63;336.55;336.55;774.07;437.52;336.55;673.10;-1000.00;221.00;1620.00;0.62;3764.95;0.27;
85.65;85.65;6.26;none;-263.65;-263.65;336.59;336.59;774.16;437.57;336.59;673.18;-1000.00;199.00;1632.29;0.61;3764.95;0.27;
84.69;84.69;10000000.00;none;-262.69;-262.69;336.63;336.63;774.25;437.62;336.63;673.26;-1000.00;277.00;1632.29;0.61;3764.95;0.27;
41.22;41.22;10000000.00;none;-262.22;-262.22;336.67;336.67;774.33;437.67;336.67;673.33;-1000.00;320.00;1597.09;0.63;3764.95;0.27;
40.77;40.77;10000000.00;none;-261.77;-261.77;336.70;336.70;774.42;437.71;336.70;673.41;-1000.00;263.00;1597.09;0.63;3764.95;0.27;
-58.59;-58.59;3.03;none;-262.41;-262.41;336.74;336.74;774.50;437.76;336.74;673.48;-1000.00;263.00;1597.09;0.63;4110.64;0.24;
-6.52;-6.52;2.79;none;-262.48;-262.48;336.77;336.77;774.58;437.81;336.77;673.55;-1000.00;211.00;1578.26;0.63;4110.64;0.24;
-6.45;-6.45;3.03;none;-262.55;-262.55;336.81;336.81;774.66;437.85;336.81;673.62;-1000.00;259.00;1578.26;0.63;4110.64;0.24;
-53.87;-53.87;2.77;none;-263.13;-263.13;336.84;336.84;774.74;437.89;336.84;673.68;-1000.00;307.00;1635.37;0.61;4110.64;0.24;
-16.70;-16.70;2.48;none;-263.30;-263.30;336.88;336.88;774.81;437.94;336.88;673.75;-1000.00;281.00;1635.37;0.61;4110.64;0.24;
38.90;38.90;2.26;none;-262.90;-262.90;336.91;336.91;774.89;437.98;336.91;673.81;-1000.00;225.00;1676.34;0.60;4110.64;0.24;
38.50;38.50;2.38;none;-262.50;-262.50;336.94;336.94;774.96;438.02;336.94;673.88;-1000.00;270.00;1676.34;0.60;4110.64;0.24;
48.01;48.01;2.04;none;-262.01;-262.01;336.97;336.97;775.03;438.06;336.97;673.94;-1000.00;260.00;1641.57;0.61;4110.64;0.24;
47.53;47.53;1.87;none;-261.53;-261.53;337.00;337.00;775.10;438.10;337.00;674.00;-1000.00;250.00;1641.57;0.61;4110.64;0.24;
-26.21;-26.21;1.96;none;-261.79;-261.79;337.03;337.03;775.17;438.14;337.03;674.06;-1000.00;324.00;1652.11;0.61;4110.64;0.24;
-25.95;-25.95;10000000.00;none;-262.05;-262.05;337.06;337.06;775.24;438.18;337.06;674.12;-1000.00;298.00;1652.11;0.61;4110.64;0.24;
-57.39;-57.39;10000000.00;none;-262.61;-262.61;337.09;337.09;775.30;438.21;337.09;674.17;-1000.00;261.00;1622.70;0.62;4110.64;0.24;
-15.24;-15.24;10000000.00;none;-262.76;-262.76;337.12;337.12;775.37;438.25;337.12;674.23;-1000.00;277.00;1622.61;0.62;4110.64;0.24;
-40.85;-40.85;10000000.00;none;-263.15;-263.15;337.14;337.14;775.43;438.29;337.14;674.29;-1000.00;230.00;1593.61;0.63;4110.64;0.24;
58.59;58.59;5.21;none;-262.59;-262.59;338.11;338.11;777.66;439.55;338.11;676.23;-1000.00;230.00;1593.61;0.63;4753.71;0.21;
