GapBuy;GapSell;FastCoef;Position;AvBid;AvAsk;Spread;SpreadK;MinLev;MinLevClose;FixTp;FixSl;TrailSl;FastSpread;dTFast;tpsFast;dTSlow;tpsSlow;
0.00;0.00;1.00;none;2.4;-0.7;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.80;599.99;1.67;0.00;0.00;
0.10;0.10;1.00;none;2.5;-0.6;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.80;599.99;1.67;397.94;2.51;
-0.27;-0.27;1.00;none;2.3666666666666666666666666667;-0.7333333333333333333333333333;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.80;750.29;1.33;401.40;2.49;
-0.13;-0.20;1.00;none;2.3;-0.775;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.70;566.33;1.77;401.40;2.49;
-0.26;-0.32;1.00;none;2.22;-0.84;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.70;566.33;1.77;601.57;1.66;
-0.22;-0.10;1.00;none;2.2;-0.8833333333333333333333333333;2.50;1.00;202.50;180.00;1.00;9.50;-1000.00;0.70;566.33;1.77;574.35;1.74;
-0.01;-0.09;1.00;none;2.1857142857142857142857142857;-0.8857142857142857142857142857;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.70;566.33;1.77;574.35;1.74;
-0.45;-0.51;1.00;none;2.1125;-0.95;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.70;566.33;1.77;519.59;1.92;
-0.13;-0.19;1.00;none;2.0888888888888888888888888889;-0.9666666666666666666666666667;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.70;936.32;1.07;516.73;1.94;
0.06;0.01;1.00;none;2.09;-0.96;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.70;936.32;1.07;528.69;1.89;
0.33;0.28;0.02;none;2.1181818181818181818181818182;-0.9272727272727272727272727273;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.70;960.39;1.04;687.80;1.45;
0.03;-0.02;0.02;none;2.1166666666666666666666666667;-0.925;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.70;960.39;1.04;700.25;1.43;
-0.44;-0.48;0.02;none;2.0769230769230769230769230769;-0.9615384615384615384615384615;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.70;960.39;1.04;659.05;1.52;
0.06;0.02;0.20;none;2.0785714285714285714285714286;-0.9571428571428571428571428571;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.70;1300.48;0.77;659.05;1.52;
-0.23;-0.26;0.19;none;2.06;-0.9733333333333333333333333333;2.30;1.00;202.30;180.00;1.00;9.30;-1000.00;0.70;1300.48;0.77;645.20;1.55;
