GapBuy;GapSell;FastCoef;Position;AvBid;AvAsk;Spread;SpreadK;MinLev;MinLevClose;FixTp;FixSl;TrailSl;FastSpread;dTFast;tpsFast;dTSlow;tpsSlow;
-9.00;9.00;1.00;none;0.00000;0.00000;9.00;1.00;34.00;0.00;1.00;16.00;-1000.00;9.00;39.98;25.02;604.76;1.65;
-9.00;9.00;1.00;none;0.00000;0.00000;9.00;1.00;34.00;0.00;1.00;16.00;-1000.00;9.00;993.48;1.01;1106.84;0.90;
-8.00;8.00;1.00;none;0.00000;0.00000;8.00;1.00;33.00;0.00;1.00;15.00;-1000.00;8.00;822.67;1.22;903.64;1.11;
-7.00;7.00;1.00;none;0.00000;0.00000;7.00;1.00;32.00;0.00;1.00;14.00;-1000.00;7.00;724.54;1.38;795.39;1.26;
-9.00;9.00;1.00;none;0.00000;0.00000;9.00;1.00;34.00;0.00;1.00;16.00;-1000.00;9.00;707.85;1.41;770.82;1.30;
-13.00;13.00;1.00;none;0.00000;0.00000;13.00;1.00;38.00;0.00;1.00;20.00;-1000.00;13.00;760.06;1.32;816.74;1.22;
-14.00;14.00;1.00;none;0.00000;0.00000;14.00;1.00;39.00;0.00;1.00;21.00;-1000.00;14.00;735.46;1.36;786.89;1.27;
-13.00;13.00;1.00;none;0.00000;0.00000;13.00;1.00;38.00;0.00;1.00;20.00;-1000.00;13.00;730.33;1.37;777.48;1.29;
-11.00;11.00;1.00;none;0.00000;0.00000;11.00;1.00;36.00;0.00;1.00;18.00;-1000.00;11.00;679.15;1.47;722.67;1.38;
-8.00;8.00;1.00;none;0.00000;0.00000;8.00;1.00;33.00;0.00;1.00;15.00;-1000.00;8.00;799.49;1.25;839.90;1.19;
-11.00;11.00;1.00;none;0.00000;0.00000;11.00;1.00;36.00;0.00;1.00;18.00;-1000.00;11.00;726.38;1.38;759.67;1.32;
-9.00;9.00;1.00;none;0.00000;0.00000;9.00;1.00;34.00;0.00;1.00;16.00;-1000.00;9.00;930.95;1.07;962.44;1.04;
-9.00;9.00;1.00;none;0.00000;0.00000;9.00;1.00;34.00;0.00;1.00;16.00;-1000.00;9.00;793.09;1.26;817.73;1.22;
-8.00;8.00;1.00;none;0.00000;0.00000;8.00;1.00;33.00;0.00;1.00;15.00;-1000.00;8.00;762.54;1.31;786.16;1.27;
