GapBuy;GapSell;FastCoef;Position;AvBid;AvAsk;Spread;SpreadK;MinLev;MinLevClose;FixTp;FixSl;TrailSl;FastSpread;dTFast;tpsFast;dTSlow;tpsSlow;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;0.00;0.00;0.00;0.00;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;172.89;5.78;172.89;5.78;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;2461.07;0.41;2461.07;0.41;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;2012.04;0.50;2012.04;0.50;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;1621.22;0.62;1621.22;0.62;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;1150.43;0.87;1150.30;0.87;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;1000.78;1.00;1000.78;1.00;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;1413.20;0.71;1413.20;0.71;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;1300.77;0.77;1300.77;0.77;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;1215.35;0.82;1215.35;0.82;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;1291.11;0.77;1291.11;0.77;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;1236.00;0.81;1236.00;0.81;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;1216.24;0.82;1216.24;0.82;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;1206.72;0.83;1206.72;0.83;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;987.29;1.01;987.33;1.01;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;990.30;1.01;990.30;1.01;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;952.15;1.05;952.15;1.05;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;1033.72;0.97;1033.76;0.97;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;959.97;1.04;960.01;1.04;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;927.45;1.08;927.49;1.08;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;900.22;1.11;900.25;1.11;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;874.12;1.14;874.15;1.14;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;852.64;1.17;852.68;1.17;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;825.40;1.21;825.46;1.21;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;810.88;1.23;810.91;1.23;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;793.73;1.26;793.79;1.26;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;812.70;1.23;812.76;1.23;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;771.99;1.30;772.04;1.30;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;753.91;1.33;753.96;1.33;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;735.49;1.36;735.54;1.36;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;718.00;1.39;718.05;1.39;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;711.19;1.41;711.24;1.41;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;722.74;1.38;722.78;1.38;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;728.63;1.37;728.67;1.37;
-0.01;0.01;1.00;none;0.00;0.00;0.01;1.00;25.01;0.00;1.00;7.01;-1000.00;0.01;714.53;1.40;714.58;1.40;
